question,category,answer
What prerequisites must be completed before the thesis defense?,Thesis,Pre-Thesis I and Pre-Thesis II.
What is the marking requirement to move from Pre-Thesis I to Pre-Thesis II?,Thesis,At least 60% marks.
What must accompany the final thesis report?,Thesis,A camera-ready IEEE journal paper.
How much weight does the readiness of a journal article carry in assessment?,Thesis,"5% marks, given only if the article has been submitted to a conference or journal."
How long is each phase of a thesis or internship?,Thesis,"Each phase (Pre-Thesis I, Pre-Thesis II, Final Thesis) spans 1 semester."
What is the penalty for breaking/dividing a group during Pre-Thesis I?,Thesis,2 marks deducted.
What is the penalty for breaking/dividing a group during Pre-Thesis II?,Thesis,3 marks deducted.
What is the penalty for breaking/dividing a group during Final Defense?,Thesis,5 marks deducted.
How much is deducted for requesting new members after Pre-Thesis I?,Thesis,2 marks.
What is the maximum allowable plagiarism for thesis reports?,Thesis,"Less than or equal to 15%, verified through Turnitin."
By when must all reports be submitted?,Thesis,Within the deadline declared in the running semester.
When is the final defense typically held?,Thesis,During the end of the advising week of the next semester.
What happens if a group fails any phase of the thesis process?,Thesis,"The phase will be considered incomplete, and the group cannot progress further."
Where can students get assistance with plagiarism checks?,Thesis,By emailing the librarian at librarian@bracu.ac.bd or consulting their supervisor.
How is the internship defended?,Thesis,"Based on a project developed during the internship, defended during the Final Thesis phase."
What is the penalty for absence in Final Defense without deferral?,Thesis,5 marks deducted.
What is the penalty for absence in Pre-Thesis I or Pre-Thesis II without deferral?,Thesis,2 marks deducte
Can I get some thesis samples of thesis?,Thesis,"Yes, sure. The link: https://drive.google.com/drive/folders/17Vz4kBF_zH7NKX0fWd8n9aIcJtziBXtz"
How often are exams held at BRAC University?,Exams,"There are likely two exams(Midterm and Final )per trimester, plus any additional Smaller exams or quizzes scheduled by your instructors thorughout the semester."
Where can students find the exam schedule?,Exams,"The official BRAC University website often publishes the exam schedules under the academic or announcements section. Additionally, the university may send exam schedules directly to students' email addresses.Furthermore, course instructors sometimes share the exam schedule directly with students during classes or through the course management system."
What should students do if they have a scheduling conflict with their exams?,Exams,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution."
What grading scale does BRAC University use?,Exams,"BRAC University uses a grading scale based on the Grade Point Average (GPA) system, where letter grades correspond to specific grade points. The typical grading scale is as follows:

A: 4.0 (Excellent)
A-: 3.7
B+: 3.3
B: 3.0 (Good)
B-: 2.7
C+: 2.3
C: 2.0 (Satisfactory)
C-: 1.7
D+: 1.3
D: 1.0 (Pass)
F: 0.0 (Fail)"
How is the Grade Point Average (GPA) calculated?,Exams,"The Grade Point Average (GPA) at BRAC University is calculated by multiplying the grade points earned in each course by the course's credit hours to obtain the quality points. The total quality points from all courses are then summed and divided by the total number of credit hours taken. This gives the GPA, which reflects the student's overall academic performance for the semester."
What are the passing and failing grades at BRAC University?,Exams,"At BRAC University, the minimum passing grade for undergraduate courses is D (1.0), while for graduate courses, it is typically C (2.0). Grades below these thresholds are considered failing. Specifically, a grade of F (0.0) indicates failure."
What items are prohibited in the exam hall?,Exams,"Mobile phones, tablets, smartwatches, and other electronic gadgets are not allowed. Bringing textbooks, notes, or any other written materials is prohibited unless explicitly allowed by the instructor.Bags, backpacks, and personal belongings should be left outside the exam hall or in designated areas."
What are the consequences of cheating during an exam?,Exams,"Students caught cheating may receive a failing grade (F) for the exam or the entire course, depending on the severity of the infraction.he university may impose additional disciplinary measures, such as academic probation, suspension, or even expulsion, depending on the nature of the cheating and whether it is a repeated offense."
How early should students arrive at the exam hall?,Exams,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.
What is the procedure to apply for a make-up exam if a student misses an exam due to illness?,Exams,"Students must apply for a makeup exam within 10 days from the day of the exam .To apply for a make-up exam at BRAC University, students should first collect the make-up exam request form from the Registrar’s Office. If the absence was due to illness, they need to have their medical certificate and health card verified at the BRACU Medical Center. Following this, students must obtain approval from the course teacher(s) and the Dean or Chair of their respective Department. After securing these approvals, they should pay the make-up exam fee and collect a clearance from the Accounts Office. Finally, students should submit the completed form and all necessary documents to the Registrar’s Office"
Are there any additional fees for taking a make-up exam?,Exams,"Yes, at BRAC University, there is typically a fee associated with taking a make-up exam. Students are required to pay this fee, which covers administrative costs related to scheduling and conducting the make-up exam. The fee amount and payment procedures can vary, so it is important for students to check with the Registrar’s Office or the Accounts Office for specific details regarding the fee amount and payment process."
How soon are make-up exams scheduled after the original exam date?,Exams,Students unable to appear in the final exams may sit for the final makeup exams on the dates decided by the department/school which be within 4 weeks of the following semester.
How is the CGPA calculated?,Exams,"To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester"
Can students appeal their grades if they believe there has been a mistake?,Exams,"A student may apply to the Chair of Department or the Dean for the re-checking of an examination script. Such a request may be made on the grounds of evidence of procedural errors, arbitrariness or prejudice. The student must make any request within Seven (07) calendar days of the publication of the mark. The Chair of Department or the Dean may, after checking with the original grader, arrange for the evaluation of an examination script to be conducted by two members of the faculty not previously involved in the examination and marking process, supported by a member of the Examination Controller’s office. The rechecking process and submission of any revised grade to the Examinations Controller should be completed within 15 calendar days."
Could you please provide details about the tuition fee structure at BRAC University?,Payment,"For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities​"
Are there any additional fees apart from tuition?,Payment,"In addition to the tuition fees for the Computer Science and Engineering (CSE) program at BRAC University, students are required to pay several additional fees. These include a one-time, non-refundable admission fee of BDT 30,800 and a semester fee of BDT 11,500, which covers essential services such as IT facilities, library access, and student activities. There is also a one-time library membership fee of BDT 2,500. Depending on the specific courses, students might incur additional lab fees, although these are generally included within the course fees for most programs​"
What are the payment deadlines for tuition and fees?,Payment,"At BRAC University, tuition and fees must be paid by the specified deadlines each semester.It's important to check specific dates each semester, as they may vary"
What are the accepted methods for paying tuition and fees?,Payment,"BRAC University allows students to pay tuition and fees through several methods, including online payment platforms like bKash, Rocket, Nagad, and Visa/MasterCard, as well as bank transfers through designated banks like Dhaka Bank and BRAC Bank. Additionally, students facing financial challenges can opt for an installment payment plan, which typically involves staggered payments throughout the semester"
Can students pay their tuition and fees online?,Payment,"Yes, students at BRAC University can pay their tuition and fees online. The university accepts online payments through platforms like bKash, Rocket, Nagad, and Visa/MasterCard. "
Is there an installment payment option available?,Payment,"Yes, BRAC University offers an installment payment option for students who may need financial flexibility. Students can apply to pay their tuition fees in three equal installments"
What are the consequences of late payment of tuition and fees?,Payment,"At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status"
Is there a grace period for late payments?,Payment,BRAC University does not provide a specific grace period for late tuition payments in its official guideline
Are there any penalties for late payment?,Payment,"BRAC University charges a late payment penalty if tuition fees are not paid by the specified deadline. The penalty is typically a percentage of the unpaid amount. For alternative payment plans, such as installments, students must apply before the deadlines to avoid these penalties. For detailed guidance, consult BRAC University's official policies"
What types of financial aid are available at BRAC University?,Payment,"BRAC University offers a variety of financial aid options to assist students in managing their tuition costs. These include merit-based scholarships for high academic achievers, need-based financial aid for students with demonstrated financial need, and sibling discounts for families with more than one student enrolled at the university.Special scholarships and waivers are also available for students from underprivileged backgrounds or those who have excelled in public exams​."
How can students apply for financial aid?,Payment,"To apply for financial aid at BRAC University, students should start by confirming their eligibility by reviewing the criteria provided on the university's website or contacting the financial aid office. Next, they need to gather all required documents, such as income certificates and academic records. After preparing the necessary paperwork, students should complete and submit the financial aid application form by the specified deadline."
What are the eligibility criteria for receiving financial aid?,Payment,"BRAC University offers financial aid to students based on demonstrated financial need. Financial aid eligibility is reassessed regularly, and students may need to maintain satisfactory academic performance. Special consideration may be given to students from disadvantaged backgrounds or those facing extraordinary circumstances. The Financial Aid Office can provide more detailed information on the application process."
What documents are required to apply for financial aid?,Payment," To qualify, students must provide documents like family income statements and tax returns to assess their financial situation. Additionally, a minimum CGPA (usually 2.50 or higher) is required, and students must be enrolled full-time."
When is the application deadline for financial aid?,Payment,The application deadline for financial aid at BRAC University typically aligns with the beginning of each semester. Students usually need to apply before the start of the semester to ensure their applications are processed in time.
How are financial aid decisions communicated to students?,Payment,"Financial aid decisions are typically communicated through email, an online student portal, or physical mail."
What are the requirements for maintaining financial aid eligibility?,Payment,"At BRAC University, students must maintain a minimum CGPA of 3.25, be enrolled full-time, meet satisfactory academic progress, follow the code of conduct, and sometimes demonstrate ongoing financial need to maintain financial aid eligibility."
"Can financial aid be revoked, and if so, under what circumstances?",Payment,"Yes, financial aid can be revoked for not meeting the required CGPA, failing to make academic progress, dropping below full-time enrollment, disciplinary violations, changes in financial status, or failing to submit required documents on time."
What scholarships are offered by BRAC University?,Payment,"BRAC University offers a range of scholarships that focus on academic excellence and specific groups of students. Merit-based scholarships are awarded to students with outstanding academic achievements. Performance scholarships recognize students who excel in their studies each semester. The university also provides quota-based scholarships for students from underrepresented communities, including ethnic minorities and those from disadvantaged regions. Special scholarships are available for the children of freedom fighters, government employees, and BRAC employees, fostering inclusivity and supporting diverse student backgrounds."
Are there any merit-based scholarships available?,Payment,"Yes, BRAC University offers merit-based scholarships to students with outstanding academic performance. These scholarships are awarded based on a student's CGPA, and recipients are often required to maintain a high academic standard throughout their studies to remain eligible for continued support."
Are there scholarships specifically for international students?,Payment,"BRAC University's revised International Scholarship/Financial Aid criteria, effective from Summer 2023, include two key scholarship options. The BRAC Scholarship offers a 100% waiver on tuition, fees, food, and accommodation for economically disadvantaged, meritorious students, provided they maintain a minimum CGPA of 3.00 and other"
How can students apply for scholarships at BRAC University?,Payment,"To apply for scholarships at BRAC University, students must first be admitted to a program. They can then fill out a scholarship application form, available through the admissions or financial aid office. Supporting documents, such as academic transcripts and financial proof (for need-based scholarships), are required. Applications must be submitted by the deadlines, and the Scholarship Committee reviews them before notifying selected students through email or the university portal."
What is the deadline for scholarship applications?,Payment,The deadline for scholarship applications at BRAC University typically varies depending on the type of scholarship and the academic semester. It is important for students to check the university's official announcements or contact the admissions or financial aid office for the specific deadlines related to each semester or scholarship program.
What documents are needed for a scholarship application?,Payment,"For a merit-based scholarship application at BRAC University, students generally need to submit academic transcripts, a certificate of enrollment, and a completed scholarship application form. Some scholarships may also require recommendation letters and a personal statement detailing academic achievements and goals. Specific scholarships may have additional requirements, so it’s important to check the guidelines for each one"
What criteria are used to select scholarship recipients?,Payment,"BRAC University selects scholarship recipients based on academic performance (minimum CGPA 3.70 for merit-based), financial need (demonstrated hardship for needs-based), and eligibility criteria (completion of required credits, good conduct, and no failed or retaken courses). For details, refer to the official policies."
How competitive are the scholarship programs at BRAC University?,Payment,"BRAC University’s scholarship programs are highly competitive due to limited availability and stringent criteria. Merit-based scholarships require a minimum CGPA of 3.70 (full tuition waiver for a CGPA of 4.00), while needs-based scholarships assess both financial hardship and academic merit. Applicants must meet credit requirements, maintain good conduct, and avoid failed or retaken courses. For details, visit BRAC University."
Are there interviews or additional assessments for scholarship applicants?,Payment,"BRAC University may require additional assessments, such as interviews, for certain scholarships. For instance, applicants for BRAC Scholarships (needs-based) and other financial aid programs are typically evaluated not only on academic performance but also on socioeconomic background and other conditions. While some merit-based scholarships are awarded automatically based on academic results, other programs might involve an application process where candidates provide supporting documents, and their eligibility is assessed by a scholarship committee. Oral tests or interviews may be included as part of this process for further assessment"
"What do the scholarships at BRAC University cover (tuition, fees, living expenses, etc.)?",Payment,"Scholarships at BRAC University typically cover tuition fees, with some also covering additional academic fees like lab and library fees. The BRAC Scholarship goes further by covering food and accommodation for economically disadvantaged students. However, most scholarships do not cover non-academic fees, such as admission or retake course fees, and the coverage varies depending on the specific scholarship program."
Are there partial scholarships available?,Payment,"BRAC University offers partial scholarships based on academic merit. Students with CGPAs between 3.70-3.84 receive a 10% tuition waiver, 3.85-3.89 earn 25%, 3.90-3.94 get 50%, and 3.95-3.99 receive 75%. A full 100% tuition waiver is awarded for a CGPA of 4.00. Siblings of current students can receive a 30% tuition waiver. Eligibility depends on academic performance, and terms may vary."
How are scholarship funds disbursed to students?,Payment,"Scholarship funds at BRAC University are typically disbursed by directly applying the awarded amount as a tuition fee waiver. Instead of receiving cash, students benefit from a reduction in their tuition and other eligible fees based on the scholarship percentage they receive. In cases like the BRAC Scholarship, which covers additional expenses such as accommodation and fees, the university handles the payments directly, ensuring that the student's expenses are covered as per the scholarship terms."
What are the ways of paying the tution fees?,Payment,"BRAC University Payment Manual for Students

Link: https://www.bracu.ac.bd/brac-university-payment-manual-students

USIS Payslip: 

Students can log in to the USIS Link: https://usis.bracu.ac.bd/academia/  to download and print their USIS pay slip, and make payment in any branch of BRAC Bank/ Southeast Bank/ ONE Bank/ Dhaka Bank/ Prime Bank (except agent banking) with their printed USIS pay slip. Confirmation will be done automatically. Students do not have to submit the pay slip physically at Brac University.

 

BRAC Bank Internet Banking:

If a student or his/her guardian has an account with BRAC Bank, they can make payment through BRAC Bank online transactions. BRAC Bank online portal has the option to pay to BRAC University. Once the payment has been made, the confirmation will be done automatically. BRAC Bank online link: https://astha.bracbank.com/ib-retail-web/tenant/index 

 

Payment Gateway (for debit or credit card / bank transfer / mobile banking):

Students can log in to the USIS Link: https://usis.bracu.ac.bd/academia/ and look for the pay slip and select “Proceed to payment” and then “Pay Now” button at the bottom of the pay slip to make online payment through authorized payment gateway with debit or credit card / bank transfer / mobile banking (bKash, Rocket, Nagad, etc.). Students will get payment confirmation ONLY if authorized payment gateway is used with debit or credit card/ bank transfer/ mobile banking. Please refer to USIS pay slip for applicable convenience fee on payment gateway.

Please note that BFTN / EFT/ manual pay slip payment is NOT acceptable."
How to contact with BRACU Finance and Accounts Department?,Payment,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd"
"How to collect payment clearance from Finance and Accounts department for Degree Processing/Convocation?
",Payment,"1. Collect payment clearance from Finance and Accounts department for Degree Processing/Convocation

2. Collect the Degree Application Form from your respective Department's DCO and Fill up with the necessary information.

3. Take Library clearance

4. Clear all your previous dues (if any).

5. Make payment of Tk. 10,000 for each course as degree processing fee at BRAC Bank (any branch) or IFIC Bank (Mohakhali branch) through prescribed manual payslip.

6. Bring your payment slip and duly filled form in the Finance and Accounts department to take payment clearance."
What is the process of getting Gown Refund? ,Payment,"By returning the convocation gown, a student can claim a refund of Tk 3,000 for the gown. Students have to preserve and show the degree processing pay slip to process the refund. Refunds must be claimed within 4 weeks from the date of convocation to avoid forfeiture/cancellation."
What are fees for fresher students?,Payment,
How to collect payment clearance from Finance and Accounts department for the Makeup exam?,Payment,"Take approval from the Dean/Chair.

1. Make payment of Tk.3,000 for each course as a make-up exam fee at BRAC Bank (any branch) or IFIC Bank (Mohakhali branch) through prescribed manual payslip.

2. Bring your payment slip and duly filled form with departmental approval in the Finance and Accounts department to take payment clearance.

This form should be submitted to the Controller’s Office with sufficient documents within 10 days from the missed exam."
"How to collect payment clearance from Finance and Accounts department for Provisional Certificate, Convocation and other document request form?",Payment,"Students can collect their document request forms from the designated department.

The student has to pay the mentioned amount for their desired document. Payment for documents can be made through prescribed manual payslip at BRAC Bank (any branch) and IFIC Bank (Mohakhali branch).

To collect payment clearance from the Finance and Accounts Department, the student has to bring his payment slip and all duly filled forms with them."
"What is the policy for Repeat, Retake, I grade & F grade for a scholarship recipient?",Payment,"1. If a student fails (F) in any subject(s) in a semester, s/he will not be considered for tuition fee waiver for two subsequent semesters. However, s/he will be allowed to re-apply with proper documents in the third semester with required CGPA.

2.  Tuition fee waiver is not awarded on retake/repeat subject(s). The student is required to pay for the retake/repeat subject(s). If a student has taken any retake/repeat courses in the previous semester then s/he will not be eligible for any type of scholarship/financial aid in the current semester. 

3.  Students having “Incomplete (I)” / Pending (P) grade in a semester will be considered for Scholarship/Financial Aid in their current semester but have to pay for all the courses. If s/he obtains the required CGPA after “make-up” or grade submission, his/her waiver will be reimbursed /adjusted in the next semester. 

4. Students, suspended/penalized for disciplinary reasons, may not be eligible for scholarship/financial aid for the remaining academic period at Brac University (starting from the date such decision is made)."
Which Scholarships are available for Post Graduate students?,Payment,"Scholarship/Financial Aid will be awarded to all eligible students of postgraduate
program according to the current policy as follows:
https://www.bracu.ac.bd/sites/default/files/academics/Scholarship/BracU_Scholarship Policy_ PG.pdf

For detailed information regarding postgraduate tuition fee waiver, please visit: https://www.bracu.ac.bd/admissions/tuition-fee-waiver-postgraduate-programs"
"Who is eligible for Spouse Scholarship and what are the supporting documents
required with the application?",Payment,"The student who gets enrolled later is eligible for tuition fee waiver.

Supporting documents for applying for Spouse Scholarship:

1. Husband-wife notary copy, 

2. Photocopy of National ID card (both), 

3. Passport size photos (both)."
"
What are the eligibility criteria for the Children of Freedom Fighter Scholarship and
what are the supporting documents required with the application?",Payment,"After selection for admission at BracU, the children of Freedom Fighters will be
eligible for tuition fee waiver.

Supporting documents for applying Children of Freedom Fighter Scholarship: 

a) Attested copy of ‘Shamoik Shonod’ or ‘BAMUSH Shonod’ of the freedom fighter.
b) Attested copy of Bangladesh Gazette of the freedom fighter.
c) Attested copy of ‘Muktibarta’ of the freedom fighter.
d) Attested copy of the National ID card of the freedom fighter.
e) Attested copy of the Birth certificate or SSC certificate of the freedom fighter."
What is BRAC Scholarship?,Payment,"BRAC Scholarship is for economically disadvantaged students.

Eligibility criteria and other requirements:

1. Parents’ monthly income - not more than Tk. 20,000. 

2. Students must have a GPA of 4.50 (without 4th subject) in SSC and HSC from Science, Arts & Commerce Group."
"My brother/sister is studying at BracU, how would I apply for Sibling Scholarship?",Payment,"Tuition fee waiver is awarded to one of the siblings who will enroll later at Brac
University.

Supporting documents for applying for Sibling Scholarship:

a) Photocopy of National ID Cards/Passports of both the applicant and parents
b) Passport-size photos of both the siblings,
c) Photocopy of BracU Grade sheet of both the siblings,
d) Photocopy of BracU advising sheet of both the siblings,
e) Photocopy of Transcript of HSC & SSC/ A level & O level of both the siblings"
What are the eligibility criteria for Scholarship Based on Previous Academic Results?,Payment,"3.1. Students who obtained a GPA of 5.0 (without 4th subject) in SSC and HSC or equivalent. 

3.2 Students who obtained 6 “A”-s in O Level/IGCSE (in two sittings) and 2 “A” s and 1 “B” in A Level or equivalent. 

3.3 Students who obtained 38 Points out of total of 45 Points in the International Baccalaureate (IB) Diploma.

3.4 A minimum CGPA of 3.80 is required to be maintained in all the subsequent semesters for the students admitted in Fall 2021 onwards. Students who have been admitted before Fall 2021 need to maintain a minimum CGPA of 3.70. If a student fails to maintain the required CGPA, s/he will not be awarded with the tuition fee waiver in the following semesters until regaining the required CGPA.

Supporting documents for applying in Scholarship Based on Previous Academic Results: 

a) Photocopy of the transcript of HSC & SSC / Mark sheet of A level & O level."
Are there any fees for applying for Scholarship/Financial Aid?,Payment,No applicants are required to pay any fees at the time of submission of the filled-out form.
"If I change my department, will it affect my scholarship?",Payment,"No, it will not affect your scholarship but you have to achieve the required CGPA & maintain the course load as per policy."
"
If I am eligible for the scholarship in multiple categories, can I apply for all those categories?",Payment,"According to the policy, if a student is eligible for more than one category of Scholarship/Financial Aid, only the higher one will be adjusted."
How can I apply for the scholarship?,Payment,"1. Students who are eligible for Scholarship Based on Previous Academic Results / Sibling Scholarship / BRAC Scholarship / Physically Challenged Students / Children of Freedom Fighter / Debater’s Blue Scholarship / Children of Brac University Regular Confirmed Employee will have to apply for the first time through BracU prescribed form which is available at the Brac University website (https://www.bracu.ac.bd/admission/scholarships-financial-aid) and submit it to the International & Scholarship Office, Brac University or email the scan copy to: scholarship@bracu.ac.bd 

2. Those students who are eligible under Merit Scholarship Based on Brac University Academic Results and Scholarship Based on Brac University Admission Test Result are not required to apply as a scholarship will be awarded automatically. 

3. Those students who are already availing of scholarships/financial aid are not required to apply further. If they fulfill all the conditions of the scholarship, they will be awarded automatically. 

4. If the scholarship /financial aid of a student is discontinued for one or more than one semester, s/he needs to re-apply through BracU prescribed form after fulfilling the eligibility criteria."
"
Is there any separate exam for awarding Scholarship/Financial Aid?",Payment,There is no separate exam for Scholarship/Financial Aid.
Which Scholarships are available for International Students?,Payment,Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.
"
What are the types of Scholarship/ Financial aid offered by Brac University?",Payment,"1. Scholarship Based on Previous Academic Results 

2. Merit Scholarship based on BracU Academic Results 

3. Scholarship Based on Brac University Admission Test Result

4. Sibling Scholarship

5. Spouse Scholarship

6. BRAC Scholarship

7. Physically Challenged Students

8. Children of Freedom Fighter

9. Debater’s Blue Scholarship

10. Children of BracU Regular Confirmed Employee

For detailed information: https://www.bracu.ac.bd/admission/scholarships-financial-aid"
Who can apply for BRAC University Scholarship/ Financial aid?,Payment,"According to the BracU Scholarship policy, any eligible candidate can apply."
What services do library provide?,Library,"The library offers a variety of study facilities to suit different preferences. If you enjoy studying in a group, you can reserve a study room in advance, providing a dedicated space for collaboration. For those who prefer studying alone, there are single seats and study capsules available on a first-come, first-served basis. Additionally, the library features various other quiet and comfortable areas where you can focus on your studies."
What are the resources available in library?,Library,"Books, Journals, Articles etc."
Provide me the library website link.,Library,https://library.bracu.ac.bd/
Provide me the contact information of library staffs.,Library,"You can contact Librarian at: librarian@bracu.ac.bd, hasina@bracu.ac.bd
Deputy Librarian: nasiruddin@bracu.ac.bd, murtoza@bracu.ac.bd"
What things are allowed to bring in library?,Library,"You are welcome to bring your study materials, such as books and pens. However, please note that bags are not permitted inside. Additionally, no food or drinks are allowed, but you may bring a water bottle."
Can I take food to the library?,Library," No food or drinks are allowed, but you may bring a water bottle."
Tell me about the library user policies.,Library,
Can you tell me the library time schedule?,Library,"Sunday - Thursday : 9:00 am - 10:00 pm 
Friday : 2:30 pm - 9:00 pm 
Saturday : 1:00 pm - 9:00 pm"
Is the library open on Friday?,Library,"Yes, from 2.30 pm to 9.00 pm"
Is the library open on government holidays?,Library,No.
How can an international student apply for admission at BRAC University?,International,Go to the brac University website and click the apply now button. Aftet that select the prefered session and follow through the instructions.
Is there any scholarship scheme for international students?,International,"1. BRAC Scholarship (Needs-Based Scholarship)

Benefits: 100% tuition and fees waiver (including semester fees, lab fees, library fees) along with food and accommodations.
Eligibility: Awarded to economically disadvantaged but meritorious students.
Requirements:
Must maintain a minimum CGPA of 3.00 on a scale of 4.00 in all semesters.
If the CGPA falls below 3.00, the student may retain a tuition fee waiver for up to two consecutive semesters. The student must regain the required CGPA within these semesters, or the scholarship will be discontinued unless special circumstances are recognized by the Scholarship Committee.
2. Merit Scholarship Based on BRACU Academic Results

Eligibility:
Undergraduate students must complete at least 30 credits, and postgraduate students must complete at least 1/4th of their program credits.
Undergraduate students must take a minimum of 12 credits (15 for School of Law, 18 for Pharmacy) in both the current and previous semesters.
Postgraduate students must take at least 9 credits in both the current and previous semesters.
Conditions:
Students who retake or repeat courses, or have a 'W' grade or an 'F' in any subject in the previous or current semester, are not eligible.
Scholarship Percentage Based on CGPA:
CGPA 3.70 - 3.84: 10% waiver
CGPA 3.85 - 3.89: 25% waiver
CGPA 3.90 - 3.94: 50% waiver
CGPA 3.95 - 3.99: 75% waiver
CGPA 4.00: 100% waiver
"
Does BRACU provide accomodation for international students?,International,Brac University provides international students accommodation facilities (need more info)
Is there any transportation facility for international students?,International,"Yes, BRAC University provides transportation facilities that can be utilized by international students. The university operates a dedicated bus service with air-conditioned buses on several key routes across Dhaka city. This service runs from Sunday to Thursday, excluding government holidays and semester breaks.

The areas covered by the university's bus routes include:
Abdullahpur, Kallyanpur, Jigatola, New Market, Jatrabari.
These routes ensure that international students have safe, comfortable, and affordable transportation options to commute between the university and various parts of Dhaka. In addition to the university's bus service, international students can also use other transportation options available in Dhaka, such as ride-sharing services, taxis, and public transport."
Do international students need to submit any medical reports?,International,"Yes, Health checkup/medical certificates are needed to be submitted."
What is the free structure for international students?,International,"Particulars	PHR	LLB (From Spring 2024)   ARC & CSE  Other Programs  Note
Admission fee	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	      One time
Course fee	Tk. 22,500/-	Tk. 24,000/-	Tk. 22,500/-	Tk. 22,500/-	     For One course
Semester fee	Tk. 12,750/-	Tk. 12,750/-	Tk. 11,500/-	Tk. 8,500/-	-
Library Membership fee	Tk. 2,500/-   Tk. 2,500/-   Tk. 2,500/-  Tk. 2,500/  One time"
Do BRACU helps during VISA processing for international students?,International,"Yes, BRACU (international-office@bracu.ac.bd) will assist in applying for the visa as needed by a foreign student."
"How much it will cost for accomodation, food and transportation fee for international students?",International,Approximately US$ 400 per month will be charged for accommodation and food.
What documents are required for international students admission?,International,"The academic and other related documents required for admission to BracU are as follows:

Completed admission application form
Original Copy of academic transcripts/certificates
Statement from your home institute which confirms medium of instruction is English
Police Clearance Certificate from your country of origin/No Objection Letter (NOC) from your home institute
Valid passport and Student visa
Health checkup/medical certificates"
How do I access my BRAC University G Suite email?,Tech,The G suite will be provided into the email connected to usis with a one time password. You need to reset the password.
I forgot my BRACU G Suite email password. How can I reset it?,Tech,"If you've forgotten your BRACU G Suite email password, go to the Google login page and click ""Forgot password."" Follow the instructions to reset your password. If you're unable to reset it, contact the BRACU IT support team to request a password reset."
How do I change my BRACU G Suite email password?,Tech,"To change your BRACU G Suite email password, log into your Google account, navigate to Security settings, and select the option to change your password. Enter your current password and then set a new one."
Why am I not receiving emails in my BRACU G Suite account?,Tech,"If you’re not receiving emails, check your spam or junk folder first. Ensure your inbox is not full, and review your email filters or forwarding settings. If the issue persists, contact BRACU IT support to ensure there are no technical issues with your email account."
What should I do if my BRACU G Suite account is hacked or compromised?,Tech,"If you suspect your BRACU G Suite account has been hacked, immediately change your password and review your account activity. Ensure two-factor authentication (2FA) is enabled. Contact IT support right away for further assistance in securing your account."
How can I set up two-factor authentication (2FA) for my BRACU G Suite email?,Tech,"To set up two-factor authentication (2FA) for your BRACU G Suite email, log into your Gmail account, go to Security settings, and select the 2FA option. Follow the prompts to set up 2FA, which may involve using your mobile device for verification. For help, contact IT support."
How do I reset my BRACU student portal password?,Tech,"To reset your BRACU student portal password, visit the portal login page and click on the ""Forgot Password"" link. Follow the prompts to reset your password by providing your student ID and registered email address"
What should I do if I'm unable to access my BRACU email?,Tech,"If you cannot access your BRACU email, ensure you’re using the correct credentials. If you’ve forgotten your password, use the password recovery option on the login page. If this doesn’t work, reach out to IT support"
I forgot my BRACU Wi-fi  password. How can I reset it?,Tech,"Send email from your g-suite account to support@bracu.ac.bd and mention your id,name,department."
How can I contact technical support if I encounter issues with my university account?,Tech,please email help@bracu.ac.bd about your issue.
How do I log in to the BRAC University lab PCs?,Tech,"To log in to the BRAC University lab PCs, use your university-provided credentials. Typically, your student ID is your username, and the default password is provided by the IT department during orientation. "
What should I do if I can’t log in to a lab PC?,Tech,"If you've changed your password and can’t remember it, contact IT support at itsupport@bracu.ac.bd."
Can I change my password on the lab PC?,Tech,"Yes, you can change your password when logged into a lab PC. Press Ctrl+Alt+Delete and select the ""Change Password"" option. Enter your current password and set a new one."
What happens if I forget my lab PC login password?,Tech,"If you forget your lab PC login password, you won’t be able to access the university systems until it's reset. Contact the IT support team at itsupport@bracu.ac.bd or reach out to the lab assistant to reset your password."
