ID,Category,Question,Answer,Type,Register,Source Reliability,Time-Sensitive,Split,Source / Notes
350,Campus,Roughly how large is BRAC University's main campus?,BRAC University's main Mohakhali/Merul Badda campus is an urban campus covering approximately 5 acres (about 2.0 hectares).,Original,Synthesized (official/secondary sources),Medium (secondary/third-party source),No,train,BRAC University general facts (Wikipedia infobox)
351,Campus,"Sorry if this was already answered, but what kind of activities can I do at the Social Interaction Space?","The Social Interaction Spaces provide areas for students to gather, collaborate on projects, or relax.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
352,Campus,"Sorry if this was already answered, but what types of events can be held in the Multipurpose Hall?","The Multipurpose Hall can be used for meetings, seminars, workshops, and social gatherings.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
353,Campus,What activities are available at the Field (Cricket and Football)?,"The Field is available for cricket and football matches, practices, and recreational activities.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
354,Campus,What activities can be done on the Roof/13th Floor?,"Green Lawn, Gymnasium, Yoga Zone, Changing Room.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
355,Campus,What amenities are available in the Generator Room?,The Generator Room houses the backup power supply for the campus facilities.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
356,Campus,What are the operating hours for the Cafeteria?,"The operating hours may vary; typically, the Cafeteria is open during regular campus hours for meals and snacks.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
357,Campus,What are the operating hours of the BRAC University Medical Center?,"The main (Badda/Dhaka) Medical Center operates from 8:30 AM to 8:30 PM. The Savar Residential Campus Medical Centre, located in the Sulla Building, provides services 24/7.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Medical Center and Medical Services pages (bracu.ac.bd/student-life/medical-center)
358,Campus,What can I find in the Greenhouse on the 14th Floor?,The Greenhouse may house various plant species for educational purposes and research.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
359,Campus,What can I find on the 14th Floor?,The 14th Floor houses a Jogging Track and a Greenhouse.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
360,Campus,What can I find on the ground floor of the main BRAC University campus building?,"The ground floor houses the main reception, the Auditorium, a Multipurpose Hall, the Central Control Room, an ATM booth, a coffee/merchandise shop, the Maidan (football field), cricket practice tracks, the Biotope Lake, and a Green Room.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Campus page and Campus 360 directory (bracu.ac.bd/student-life/brac-university-campus, bracu.ac.bd/campus-360)"
361,Campus,What does the Counseling and Wellness Centre at BRAC University offer?,"The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University official website
362,Campus,What facilities are available for students at the Student Life Store?,"The Student Life Store offers various student supplies, merchandise, and campus-related items.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
363,Campus,What facilities are available on the 12th Floor?,"The 12th Floor includes Learning Labs/Classrooms, EEE/ECE Labs, CSE/CS Labs, MNS Labs, and Social Interaction Spaces.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
364,Campus,What facilities are available on the 1st Floor?,"Medical Center, Male Washroom, Female Washroom, Brac Bank, and Student Fee Collection Booth.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
365,Campus,What facilities are available on the 5th Floor?,"School of General Education, ENH, ESS, School of Pharmacy, MNS, School of Architecture and Design, BRAC Business School, and BRAC Institute of Languages.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
366,Campus,What food and beverage service is available on campus?,"Arabika Coffee is located on the Ground Floor and also you can have meal, snacks or bevarage from 6th floor Cafeteria.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
367,Campus,What health services are available on the 1st Floor?,"The Medical Center provides health services, including consultations and emergency care.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
368,Campus,What is BRAC University's general contact information?,"The university can be reached at +88 09638464646 (extension 1001 for the operator), and general queries can be emailed to info@bracu.ac.bd.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University official website - Contact and About pages
369,Campus,What is BRAC University's main campus address?,"BRAC University's main campus is located at Kha 224, Pragati Sarani, Merul Badda, Dhaka 1212, Bangladesh.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University official website - Contact and About pages
370,Campus,What is checked at the Security Supervisor Office?,"Student ID Check, All workers In out",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
371,Campus,What is located adjacent to the Central Control Room?,The Central Control Room is located beside the Lift Lobby on the Ground Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
372,Campus,What is located on the 4th Floor?,"Chancellery, Registry, Finance & Accounts, HR, Proctor's Office, BSRM School of Engineering, School of Data and Sciences, CSE, MNS, and School of Law.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
373,Campus,What is OCSAR and what does it do for students?,"OCSAR (Office of Career Services and Alumni Relations) is BRAC University's career office, formerly called the Career Services Office (CSO). It helps students and graduates transition into professional life through career counseling, CV/cover letter support, internship and job placement, on-campus recruitment sessions, networking events, and career fairs. It also organizes alumni events and connects current students with BRACU alumni.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University - Office of Career Services and Alumni Relations (bracu.ac.bd/campus-life/student-affairs/ocsar, ocsar.bracu.ac.bd)"
374,Campus,What is the Alumni Talk Series?,"The Alumni Talk Series is an OCSAR initiative that connects current students with successful BRAC University alumni, who share insights on their career paths, the skills that helped them, and professional growth.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Career Services and Alumni Relations (bracu.ac.bd/campus-life/student-affairs/ocsar, ocsar.bracu.ac.bd)"
375,Campus,What is the BRAC University Institutional Repository?,"The Institutional Repository (accessible via dspace.bracu.ac.bd) is a DSpace-based digital archive that stores BRAC University's academic output, including undergraduate and graduate theses, internship reports, research papers, and archival material such as records from the university's new campus project.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University Institutional Repository / DSpace (dspace.bracu.ac.bd)
376,Campus,What is the Fabrication Laboratory at BRAC University used for?,"The Fabrication Laboratory, set up initially for the Department of Architecture, supports model-making and hands-on production work with aesthetic and spatial value, and is intended to support courses in areas like design, 3D modeling and animation.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Fabrication Laboratory page (bracu.ac.bd/resources/fabrication-laboratory)
377,Campus,What is the function of the Proctor's Office?,The Proctor's Office oversees academic integrity and student conduct during examinations.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
378,Campus,What is the function of the Security Supervisor Office?,To check student IDs and monitor the entry and exit of all workers.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
379,Campus,What is the GDLN Centre at BRAC University?,"The GDLN (Global Development Learning Network) Centre is one of BRAC University's resource facilities, listed alongside the library and fabrication lab, used for distance-learning and videoconferencing-based sessions connecting BRACU with global partner institutions.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University resources page (bracu.ac.bd)
380,Campus,What is the Office of Academic Advising (OAA) responsible for?,"The Office of Academic Advising (OAA) supports students with course selection, degree planning, and advising-related guidance, and helps run orientation activities such as FYAT for new students.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University official website
381,Campus,What is the operating hour for Student Life services?,"2nd Floor, Service Hour from 9 AM to 5 PM.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
382,Campus,What is the Professional Skills Development Program (PSDP)?,PSDP is an intensive OCSAR program designed to prepare final-year students for the workplace by building the soft skills employers value most. Students who have completed at least 90 credits are eligible to enroll.,Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Career Services and Alumni Relations (bracu.ac.bd/campus-life/student-affairs/ocsar, ocsar.bracu.ac.bd)"
383,Campus,What is the role of the Office of Academic Advising?,"The Office of Academic Advising provides academic support, course selection, and guidance for the first year students.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
384,Campus,What kind of activities can I do at the Social Interaction Space?,"The Social Interaction Spaces provide areas for students to gather, collaborate on projects, or relax.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
385,Campus,What kind of counseling services does the Counseling Unit provide?,"The Counseling Unit offers mental health support, guidance, and workshops for students. Visti: https://www.bracu.ac.bd/campus-life/student-affairs/counseling-unit/counseling-team",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
386,Campus,What services are offered by the Finance & Accounts Office?,"The Finance & Accounts Office manages student accounts, tuition payments, and financial aid. You can also email at queries-accounts@bracu.ac.bd",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
387,Campus,What services does Brac Bank provide on campus?,"Brac Bank offers banking services, including cash withdrawals, deposits, and student fee collection.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
388,Campus,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University - Medical Center and Medical Services pages (bracu.ac.bd/student-life/medical-center) [Enriched 2026-07 with additional verified details from bracu.ac.bd/student-life/medical-center/medical-services.]
389,Campus,What services does the Center of Entrepreneurship Development (CED) offer?,"Located on the 3rd Floor/Level 3 (B3-03 Stair 08), the CED provides support for entrepreneurial activities.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
390,Campus,What should I do if I want to access the Childcare Center?,The Childcare Center is located on the 2nd Floor (B3-03 Stair 08) and may have specific entry requirements.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
391,Campus,What should I know about the Student Life services?,"Student Life services support student engagement, activities, and personal development and are located on the 2nd Floor.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
392,Campus,What steps do I need to follow to access the Prayer Room for females?,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H),Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
393,Campus,What steps do I need to follow to find internships or job openings through the university?,Students can create an account on the OCSAR job portal (ocsar.bracu.ac.bd) to browse and apply directly for internship and job postings that OCSAR collects from partner employers each semester.,Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Career Services and Alumni Relations (bracu.ac.bd/campus-life/student-affairs/ocsar, ocsar.bracu.ac.bd)"
394,Campus,What support does the Center of Entrepreneurship Development (CED) provide?,"The Center for Entrepreneurship Development (CED) at BRAC University supports students and alumni in developing entrepreneurial skills and launching their own ventures. It offers various services, including:
Training and mentorship programs for aspiring entrepreneurs.
Workshops and seminars on business development and innovation.
Networking opportunities with industry professionals.
Resources and guidance for business planning and startup funding.
CED aims to foster a culture of entrepreneurship and innovation within the university community, providing both theoretical knowledge and practical experience to help students succeed in their entrepreneurial endeavors.Visit more for details: https://ced.bracu.ac.bd/",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
395,Campus,What types of events can be held in the Chancellery?,"The Chancellery can host formal events, ceremonies, and administrative meetings.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
396,Campus,What types of events can be held in the Multipurpose Hall?,"The Multipurpose Hall can be used for meetings, seminars, workshops, and social gatherings.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
397,Campus,What types of laboratories are available on the 11th Floor?,"The 11th Floor houses Pharmacy Labs, EEE/ECE Labs, CSE/CE Labs, MNS Labs, and Social Interaction Spaces.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
398,Campus,What unique features does the 3rd Floor have?,"The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
399,Campus,What's on the second floor?,"The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
400,Campus,When will the rooftop open?,"The rooftop is already open, containing a Green Lawn, Gymnasium, and Yoga Zone (13th floor).",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
401,Campus,Where are the BRAC Bank and ATMs?,ATM services are available on the ground and Brac Bank is on 1st floor/Level 1.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
402,Campus,Where are the clubrooms located?,Club activity rooms are located on the 6th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
403,Campus,Where are the CSE Labs located?,"CSE Labs are located on the 8th, 9th, 10th, 11th and 12th Floor.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
404,Campus,Where are the fields for cricket and football located?,The cricket and football fields (the Maidan) are located on the Ground Floor of the main campus building.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
405,Campus,Where are the Learning Labs and Classrooms located?,"Learning Labs/Classrooms are located on the 7th, 8th, 9th, 10th, 11th, and 12th Floors.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
406,Campus,Where can guardians wait during their visits?,The Guardian Waiting Room is located on the Ground Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
407,Campus,Where can I collect my student fees?,The Student Fee Collection Booth is located on the 1st Floor at Brac Bank.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
408,Campus,Where can I find an ATM on campus?,"Ground Floor, Between manual barrier and lift lobby entries",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
409,Campus,Where can I find changing rooms for gym users?,Changing Rooms are located in the Gymnasium area on the Roof/13th Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
410,Campus,Where can I find EEE department's printing Lab?,The EEE Department's printing lab is on 12B-17L,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
411,Campus,Where can I find lecture theaters on campus?,Lecture Theaters are located on the 9th Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
412,Campus,Where can I find social interaction spaces on campus?,"Social interaction spaces are located on the 6th, 7th, 8th, 9th, and 10th Floors.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
413,Campus,Where can I find the Arabika Coffee shop?,Arabika Coffee is located on the Ground Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
414,Campus,Where can I find the Auditorium Upper Gallery?,The Auditorium Upper Gallery is located on the 1st Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
415,Campus,Where can I find the Cafeteria?,The Cafeteria is located on the 6th Floor of the main campus building.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
416,Campus,Where can I find the DCO's office?,"DCO's office are always connected with the department. So, go to your department and find your DCO.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
417,Campus,Where can I find the Dressing Room for the two grounds?,"The Dressing Rooms for the two sports grounds are located on the Ground Floor of the main campus building, near the Maidan.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
418,Campus,Where can I find the male and female washrooms on the 1st Floor?,Beside the lift lobby(2nd escalator),Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
419,Campus,Where can I find the Medical Centre?,The Medical Centre is located on the 1st floor.,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
420,Campus,Where can I find the nearest ATM from the reception?,"The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
421,Campus,Where can I find the Prayer Room for females?,In front of the indoor (Multipurpose Hall) and also on 6th floor(ZONE-H).,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
422,Campus,Where can I find the printing locations?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
423,Campus,Where can I practice yoga on campus?,The Yoga Zone is located on the Roof/13th Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
424,Campus,Where can students participate in clubs and activities?,Club Activity Rooms are located on the 6th Floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
425,Campus,Where is EEE department's printing Lab?,The EEE Department's printing lab is on 12B-17L,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
426,Campus,Where is female washroom?,There are female washrooms in every floor from ground to 12th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
427,Campus,Where is male washroom?,There are male washrooms in every floor from ground to 12th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
428,Campus,Where is the BBA Department?,The BRAC Business School (BBA Department) is on the 5th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
429,Campus,Where is the Central Control Room located?,"Ground Floor, Beside the Lift Lobby",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
430,Campus,Where is the CSE Department?,"The CSE Department is located on the 4th floor, with labs on the 10th, 11th, and 12th floors.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
431,Campus,Where is the CSE/CS department's printing lab?,The CSE/CS department's printing lab is on 11A-4L.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
432,Campus,Where is the Cycle Garage located?,"Ground Floor, Gate no. 2 (Pocket Gate)",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
433,Campus,Where is the DCO's office?,"DCO's office are always connected with the department. So, go to your department and find your DCO.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
434,Campus,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
435,Campus,Where is the ENH Department?,The ENH Department is located on the 5th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
436,Campus,Where is the Entrepreneurship Center?,The Center of Entrepreneurship Development (CED) is on the 3rd floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
437,Campus,Where is the Generator Room located?,The Generator Room is located behind the Multipurpose Hall.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
438,Campus,Where is the indoor game room located?,Indoor games are located in Multipurpouse Hall.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
439,Campus,Where is the Medical Center located within the main campus building?,"The Medical Center is located on the 1st Floor of the main campus building, along with the Auditorium's upper gallery, a BRAC Bank & ATM branch, and a medicine shop.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Campus page and Campus 360 directory (bracu.ac.bd/student-life/brac-university-campus, bracu.ac.bd/campus-360)"
440,Campus,Where is the Medical Centre?,The Medical Centre is located on the 1st floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
441,Campus,Where is the multi-purpose hall?,The multi-purpose hall is located on the ground floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
442,Campus,Where is the nearest ATM from the reception?,"The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
443,Campus,Where is the Office of Academic Advising located?,"3rd Floor, Level 3 Zone D (B3-03 Stair 08) – access through B3-03 Stair 09.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
444,Campus,Where is the printing locations?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
445,Campus,Where is the Reception located?,"Ground Floor, Between the Manual Barrier(1st escalator) and the lift lobby(2nd escalator).",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
446,Campus,"Where is the Student Information Centre located, and what else is on that floor?","The Student Information Centre is on the 2nd Floor, alongside an Exhibition Gallery and a Rehearsal Room.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Campus page and Campus 360 directory (bracu.ac.bd/student-life/brac-university-campus, bracu.ac.bd/campus-360)"
447,Campus,Where's the female prayer room?,The female prayer room is located on the ground floor near reception and also another one on 6th floor.(ZONE-H).,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
448,Campus,Where's the information desk?,Information desk in located on 2nd floor. It is also called the Student Information Centre(SIC),Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
449,Campus,Where's the male prayer room?,The male prayer room is on the 6th floor (ZONE-H).,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
450,Campus,Which floor hosts the Office of Co-Curricular Activities and Student Life offices?,"The 3rd Floor hosts the Student Life offices, including the Office of Co-Curricular Activities (OCA).",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Campus page and Campus 360 directory (bracu.ac.bd/student-life/brac-university-campus, bracu.ac.bd/campus-360)"
451,Campus,Which rooms are lecture theatres?,Lecture theatres are located on the 9th floor.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
452,Campus,Who designed the campus?,"WOHA Designs Pte Ltd., Singapore based world-renowned architectural firm has designed the BRAC University new campus.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
