,Question,Answer,Source
320,BRAC e class related announcement kothay dekhbo?,"Students should check the university's official learning platforms, student information system, university email, and instructor communications for class-related announcements.",https://www.bracu.ac.bd/students
321,BRAC e lab class miss korle makeup lab deya hoy?,Makeup laboratory sessions are subject to the course instructor's policy and departmental regulations. Students should contact the instructor as soon as possible if they miss a lab due to a valid reason.,https://www.bracu.ac.bd/academics
322,BRAC e lab report submit korar niyom ke decide kore?,"The course instructor determines the submission guidelines, deadlines, and evaluation criteria for laboratory reports, as described in the course syllabus.",https://www.bracu.ac.bd/academics
323,BRAC e programming lab e nijer laptop use korte pari?,The use of personal laptops depends on the course instructor and the laboratory's policies. Students should follow the instructions provided for their specific course.,https://www.bracu.ac.bd/about/campus
324,BRAC e computer lab class chara use kora jay?,"Yes. Computer laboratories may be available outside scheduled classes, subject to laboratory rules, operating hours, and availability.",https://www.bracu.ac.bd/facilities
325,BRAC e Wi-Fi password kivabe pabo?,Students receive access to the university network using their official BRAC University credentials. The IT Office provides instructions for accessing campus Wi-Fi services.,https://www.bracu.ac.bd/it
326,BRAC e university software free use kora jay?,BRAC University provides access to selected academic software and digital resources for eligible students. The availability of specific software depends on the program and university licensing agreements.,https://www.bracu.ac.bd/it
327,BRAC e Microsoft Office free pawa jay?,Access to Microsoft Office or other software depends on BRAC University's current licensing agreements and IT services. Students should check with the IT Office for the latest availability.,https://www.bracu.ac.bd/it
328,BRAC e university email diye Google Workspace use kora jay?,Students may receive access to Google Workspace services through their official BRAC University account if those services are enabled by the university.,https://www.bracu.ac.bd/it
329,BRAC e university account er password bhule gele ki korbo?,Students who forget their university account password should follow the password recovery process provided by the IT Office or contact IT support for assistance.,https://www.bracu.ac.bd/it
330,BRAC e IT support er sathe kivabe jogajog korbo?,Students can contact the BRAC University IT Office through the official contact information available on the university website for technical support and account-related issues.,https://www.bracu.ac.bd/contact
331,BRAC e IT Office ki ki service dey?,"The IT Office provides technical support for university accounts, email services, network connectivity, campus Wi-Fi, and other IT-related services for students, faculty, and staff.",https://www.bracu.ac.bd/it
332,BRAC e official email activate korte ki korte hoy?,Students receive instructions for activating and using their official BRAC University email account after completing the admission and registration process.,https://www.bracu.ac.bd/students
333,BRAC e university email er password change kora jay?,Yes. Students can change their university account password by following the procedures provided by the IT Office.,https://www.bracu.ac.bd/it
334,BRAC e campus Wi-Fi connect na hole ki korbo?,"Students should verify their login credentials and network settings. If the problem continues, they should contact the BRAC University IT Office for technical assistance.",https://www.bracu.ac.bd/it
335,BRAC e library er e-book ba journal off-campus theke access kora jay?,"Yes. Eligible students can access many of the Ayesha Abed Library's subscribed electronic books, journals, and databases remotely using the university's authorized access system.",https://library.bracu.ac.bd
336,BRAC e library database e research paper search kora jay?,"Yes. The Ayesha Abed Library provides access to scholarly databases where students can search for journal articles, conference papers, books, and other academic resources.",https://library.bracu.ac.bd
337,BRAC e librarian der kach theke research assistance pawa jay?,"Yes. The Ayesha Abed Library offers research assistance to help students locate academic resources, use databases, develop search strategies, and manage citations.",https://library.bracu.ac.bd/research-support/research-help
338,BRAC e Turnitin use korar support library dey?,"Yes. The Ayesha Abed Library provides guidance and training related to Turnitin, plagiarism awareness, and academic integrity.",https://library.bracu.ac.bd/research-support/research-help
339,BRAC e citation management software niye training pawa jay?,Yes. The Ayesha Abed Library provides support and guidance on using citation management tools as part of its research support services.,https://library.bracu.ac.bd/research-support/research-help
340,BRAC e research database use korar training hoy?,"Yes. The Ayesha Abed Library regularly conducts workshops and training sessions on using academic databases, research resources, and other library services.",https://library.bracu.ac.bd/research-support/research-help
341,BRAC e library workshop e join korte registration lage?,"Some library workshops require prior registration, while others are open to all eligible participants. Students should follow the registration instructions provided in the workshop announcement.",https://library.bracu.ac.bd
342,BRAC e library training er notice kothay dekhbo?,"Announcements about library workshops, training sessions, and events are published on the Ayesha Abed Library website and its official communication channels.",https://library.bracu.ac.bd
343,BRAC e library theke thesis ba dissertation dekhte pari?,"Yes. The Ayesha Abed Library maintains institutional research collections, including eligible theses and dissertations, subject to the library's access policies.",https://library.bracu.ac.bd
344,BRAC e institutional repository ache?,Yes. BRAC University maintains an institutional repository that preserves and provides access to selected scholarly works and research outputs produced by the university community.,https://dspace.bracu.ac.bd
345,BRAC e previous thesis online pawa jay?,"Many approved theses and dissertations are available through the BRAC University Institutional Repository, depending on the author's permission and repository policies.",https://dspace.bracu.ac.bd
346,BRAC e library theke reference management niye workshop hoy?,Yes. The Ayesha Abed Library organizes workshops on citation practices and reference management tools as part of its research support services.,https://library.bracu.ac.bd/research-support/research-help
347,BRAC e librarian der sathe one-to-one consultation book kora jay?,"Yes. Students can request research assistance from librarians, and individual consultations may be arranged according to library services and staff availability.",https://library.bracu.ac.bd/research-support/research-help
348,BRAC e library research guide ache?,"Yes. The Ayesha Abed Library provides research guides and instructional resources to help students effectively use library collections, databases, and research tools.",https://library.bracu.ac.bd/research-support
349,BRAC e library theke plagiarism niye workshop hoy?,"Yes. The Ayesha Abed Library conducts workshops and awareness sessions on plagiarism prevention, academic integrity, and the responsible use of information.",https://library.bracu.ac.bd/research-support/research-help
350,BRAC e library er subscribed database er list kothay pabo?,The complete list of electronic databases subscribed to by the Ayesha Abed Library is available on the library's official website under its electronic resources section.,https://library.bracu.ac.bd/e-resources
351,BRAC e library database use korte VPN lage?,Access to some subscribed electronic resources from outside the campus may require the university's authorized remote access method. Students should follow the access instructions provided by the Ayesha Abed Library.,https://library.bracu.ac.bd
352,BRAC e library te newspaper archive pawa jay?,"Yes. The Ayesha Abed Library provides access to selected newspapers, archives, and other information resources through its collections and subscribed databases.",https://library.bracu.ac.bd
353,BRAC e library te printing service ache?,The availability of printing services depends on the library's current facilities and policies. Students should check with the Ayesha Abed Library for the latest information.,https://library.bracu.ac.bd
354,BRAC e library te scanning service pawa jay?,The Ayesha Abed Library provides selected document services according to its current facilities and library policies. Students should contact the library to learn about available scanning services.,https://library.bracu.ac.bd
355,BRAC e library member howar jonno alada registration lage?,Current BRAC University students automatically become eligible to use library services through their university enrollment and valid student identification.,https://library.bracu.ac.bd
356,BRAC e library account e koyta boi issue ache seta dekhte parbo?,Yes. Students can review their library borrowing information through the library's online services if that feature is available for their account.,https://library.bracu.ac.bd
357,BRAC e library book reserve korar por notification dey?,"Yes. If a reservation service is available, the library notifies users according to its reservation and circulation procedures when the requested item becomes available.",https://library.bracu.ac.bd
358,BRAC e library te reference book basay niye jawa jay?,Reference books are generally intended for use within the library and are normally not available for regular borrowing unless permitted by the library's policies.,https://library.bracu.ac.bd/policy/borrowing-privileges
359,BRAC e library te silent study area ache?,"Yes. The Ayesha Abed Library provides designated study spaces, including quiet areas, to support individual study and academic work.",https://library.bracu.ac.bd
360,BRAC e library te charging point pawa jay?,Yes. The Ayesha Abed Library provides study facilities that include access to power outlets in many study areas for academic use.,https://library.bracu.ac.bd
361,BRAC e library te laptop niye bose pora jay?,Yes. Students are allowed to use personal laptops in designated study areas of the Ayesha Abed Library while following the library's rules and maintaining a quiet study environment.,https://library.bracu.ac.bd
362,BRAC e library te Wi-Fi use kora jay?,Yes. Students can access the university's Wi-Fi network while using the Ayesha Abed Library with their authorized BRAC University credentials.,https://library.bracu.ac.bd
363,BRAC e library te group study korar jonno alada jayga ache?,"Yes. The Ayesha Abed Library provides designated discussion and collaborative study spaces for group work, subject to availability and library policies.",https://library.bracu.ac.bd
364,BRAC e library te khabar niye dhuka jay?,Students are expected to follow the library's rules regarding food and beverages to help maintain a clean and comfortable study environment.,https://library.bracu.ac.bd
365,BRAC e library te pani er bottle niye jawa allowed?,Students should follow the Ayesha Abed Library's policies regarding drinks and personal belongings while using library facilities.,https://library.bracu.ac.bd
366,BRAC e library te locker facility ache?,The availability of locker facilities depends on the current services provided by the Ayesha Abed Library. Students should check with the library for the latest information.,https://library.bracu.ac.bd
367,BRAC e library te boi suggest kora jay?,Yes. Students may recommend books or other learning resources for the library collection by following the library's resource recommendation process.,https://library.bracu.ac.bd
368,BRAC e library notun boi kinle seta kivabe janbo?,Newly acquired books and library resources are announced through the Ayesha Abed Library's catalog and official communication channels.,https://library.bracu.ac.bd
369,BRAC e library catalog diye boi search kivabe korbo?,"Students can search for books, journals, and other materials using the Ayesha Abed Library's Online Public Access Catalog (OPAC) available on the library website.",https://library.bracu.ac.bd
370,BRAC e library OPAC ki?,"OPAC (Online Public Access Catalog) is the library's online search system that allows users to find books, journals, theses, and other resources available in the Ayesha Abed Library collection.",https://library.bracu.ac.bd
371,BRAC e library OPAC use korte login korte hoy?,"Searching the library catalog (OPAC) is generally available without logging in. However, users may need to log in to access personal library account features such as renewals or reservations.",https://library.bracu.ac.bd
372,BRAC e library te journal print copy pawa jay?,Yes. The Ayesha Abed Library maintains print and electronic journal collections. Availability depends on the library's subscriptions and holdings.,https://library.bracu.ac.bd
373,BRAC e library te newspaper porte pari?,Yes. The Ayesha Abed Library provides access to selected newspapers and news resources through its print collections and electronic databases.,https://library.bracu.ac.bd
374,BRAC e library te magazine collection ache?,Yes. The library maintains a collection of magazines and periodicals for academic and general reading purposes.,https://library.bracu.ac.bd
375,BRAC e library te rare book collection ache?,The Ayesha Abed Library maintains special collections to support teaching and research. The availability of rare or special materials depends on the library's holdings and access policies.,https://library.bracu.ac.bd
376,BRAC e library te boi khuje na pele librarian help korbe?,"Yes. Librarians assist students in locating books, journals, databases, and other academic resources available through the library.",https://library.bracu.ac.bd/research-support/research-help
377,BRAC e library te kon database amar subject er jonno best seta janate help kore?,Yes. Librarians provide research consultations and can recommend the most appropriate databases and information resources based on a student's subject or research topic.,https://library.bracu.ac.bd/research-support/research-help
378,BRAC e library te literature review korte help pawa jay?,"Yes. The Ayesha Abed Library offers research support to help students develop search strategies, locate scholarly literature, and conduct literature reviews.",https://library.bracu.ac.bd/research-support/research-help
379,BRAC e library te systematic literature review niye guidance pawa jay?,Yes. Librarians provide guidance on advanced literature searching and research support services that can assist students conducting systematic or comprehensive literature reviews.,https://library.bracu.ac.bd/research-support/research-help
380,BRAC e library te research consultation free?,Yes. Research consultation and library support services are provided to eligible BRAC University students as part of the library's academic support services.,https://library.bracu.ac.bd/research-support/research-help
381,BRAC e librarian der sathe research appointment online book kora jay?,"Students can request research assistance from the Ayesha Abed Library. The library provides consultation services, and appointments may be arranged according to the library's current procedures.",https://library.bracu.ac.bd/research-support/research-help
382,BRAC e library theke Zotero use korar guidance pawa jay?,"Yes. The Ayesha Abed Library provides guidance on citation management tools, including how to organize references and citations for academic writing.",https://library.bracu.ac.bd/research-support/research-help
383,BRAC e EndNote ba Mendeley niye help pawa jay?,Yes. The library offers research support for citation management tools and helps students use them effectively for academic research.,https://library.bracu.ac.bd/research-support/research-help
384,BRAC e thesis er jonno database search strategy banate help kore?,Yes. Librarians help students develop effective search strategies to locate relevant scholarly literature for research projects and theses.,https://library.bracu.ac.bd/research-support/research-help
385,BRAC e library research workshop er certificate dey?,Whether a certificate is provided depends on the specific workshop or training session. Students should check the event announcement for details.,https://library.bracu.ac.bd
386,BRAC e library workshop gula sob department er student attend korte pare?,"Many library workshops are open to all BRAC University students, although some specialized sessions may target specific departments or research groups.",https://library.bracu.ac.bd
387,BRAC e library database use korar training beginner der jonno ache?,Yes. The Ayesha Abed Library conducts introductory training sessions to help students learn how to search databases and use library resources effectively.,https://library.bracu.ac.bd/research-support/research-help
388,BRAC e library te research ethics niye workshop hoy?,"Yes. The library supports responsible research practices by offering sessions on academic integrity, plagiarism awareness, and related research topics.",https://library.bracu.ac.bd/research-support/research-help
389,BRAC e library theke Scopus ba Web of Science use korte pari?,"Students can access subscribed research databases provided by the Ayesha Abed Library. The availability of Scopus, Web of Science, or other databases depends on the university's current subscriptions.",https://library.bracu.ac.bd/e-resources
390,BRAC e library kon kon e-resource subscribe kore seta kothay dekhbo?,The complete list of electronic resources and subscribed databases is available on the Ayesha Abed Library's E-Resources webpage.,https://library.bracu.ac.bd/e-resources
391,BRAC e library diye IEEE Xplore access kora jay?,Students can access IEEE Xplore through the Ayesha Abed Library if it is included in the university's current electronic resource subscriptions. Students should check the library's E-Resources page for the latest list of subscribed databases.,https://library.bracu.ac.bd/e-resources
392,BRAC e library diye ACM Digital Library use kora jay?,Access to the ACM Digital Library depends on BRAC University's active library subscriptions. Students can verify its availability through the library's E-Resources page.,https://library.bracu.ac.bd/e-resources
393,BRAC e library diye SpringerLink access pawa jay?,Students can use SpringerLink if it is part of the university's subscribed electronic resources. The latest subscription information is available on the library website.,https://library.bracu.ac.bd/e-resources
394,BRAC e library diye ScienceDirect use kora jay?,Access to ScienceDirect is available if it is included in the Ayesha Abed Library's current subscriptions. Students should consult the E-Resources page for availability.,https://library.bracu.ac.bd/e-resources
395,BRAC e library diye JSTOR access kora jay?,Students may access JSTOR through the Ayesha Abed Library if the university maintains an active subscription. The E-Resources page lists the available databases.,https://library.bracu.ac.bd/e-resources
396,BRAC e subscribed database off-campus theke use korte login lage?,Yes. Remote access to subscribed electronic resources generally requires authentication using the university's authorized access system and valid BRAC University credentials.,https://library.bracu.ac.bd
397,BRAC e library database access na korle kothay help pabo?,Students experiencing problems accessing electronic resources should contact the Ayesha Abed Library for technical or research support.,https://library.bracu.ac.bd/contact
398,BRAC e library email support ache?,"Yes. The Ayesha Abed Library provides official email support for library-related inquiries, including borrowing, electronic resources, and research assistance.",https://library.bracu.ac.bd/contact
399,BRAC e library phone diye contact kora jay?,Yes. Students and other users can contact the Ayesha Abed Library by phone using the official contact numbers published on the library website.,https://library.bracu.ac.bd/contact
400,BRAC e library er office hour kothay dekhbo?,The latest library opening hours and service hours are available on the Ayesha Abed Library's official website. Students should check the website for updates during holidays or special schedules.,https://library.bracu.ac.bd
401,BRAC e medical center ache?,"Yes. BRAC University provides healthcare support through its Medical Centre for students, faculty, and staff during official service hours.",https://www.bracu.ac.bd/students/medical-centre
402,BRAC e oshustho hole Medical Centre theke treatment pawa jay?,"Yes. The Medical Centre provides primary healthcare services, basic medical consultations, and first aid. Students requiring specialized treatment may be referred to an external healthcare facility.",https://www.bracu.ac.bd/students/medical-centre
403,BRAC e Medical Centre e appointment lage?,"Students should follow the Medical Centre's current service procedures. Depending on the type of service, appointments may be required or patients may be seen during operating hours.",https://www.bracu.ac.bd/students/medical-centre
404,BRAC e emergency first aid service ache?,Yes. The BRAC University Medical Centre provides first aid and emergency medical assistance within the scope of its services during operating hours.,https://www.bracu.ac.bd/students/medical-centre
405,BRAC e ambulance service ache?,BRAC University provides emergency medical support. Students should contact the Medical Centre or campus security for assistance during medical emergencies.,https://www.bracu.ac.bd/students/medical-centre
406,BRAC e counseling service pawa jay?,"Yes. BRAC University offers counseling and psychological support services to help students with personal, emotional, and academic well-being.",https://www.bracu.ac.bd/students/counseling-unit
407,BRAC e counseling service free?,Yes. Counseling services provided by BRAC University are available to enrolled students according to the university's counseling policies.,https://www.bracu.ac.bd/students/counseling-unit
408,BRAC e counseling appointment kivabe nibo?,Students can request counseling services by following the appointment process described by the Counseling Unit through its official communication channels.,https://www.bracu.ac.bd/students/counseling-unit
409,BRAC e mental health support pawa jay?,"Yes. BRAC University's Counseling Unit provides mental health support, counseling, and referrals when appropriate to support students' well-being.",https://www.bracu.ac.bd/students/counseling-unit
410,BRAC e Counseling Unit er sathe jogajog kivabe korbo?,Students can contact the Counseling Unit using the official contact information published on the BRAC University website.,https://www.bracu.ac.bd/students/counseling-unit
411,BRAC e Counseling Unit e session confidential thake?,Yes. The Counseling Unit maintains the confidentiality of counseling sessions in accordance with professional ethics and university policies. Information is disclosed only when required by law or when there is a serious risk to safety.,https://www.bracu.ac.bd/students/counseling-unit
412,BRAC e academic stress niye counselor er sathe kotha bola jay?,"Yes. Students can consult the Counseling Unit regarding academic stress, time management, examination anxiety, and other academic or personal concerns.",https://www.bracu.ac.bd/students/counseling-unit
413,BRAC e career counseling pawa jay?,Yes. BRAC University provides career guidance and professional development support through the Office of Career Services and Alumni Relations (OCSAR).,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
414,BRAC e CV review service ache?,Yes. OCSAR offers CV and résumé review services to help students prepare professional job application documents.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
415,BRAC e mock interview practice kora jay?,Yes. OCSAR organizes mock interviews and career preparation activities to help students improve their interview skills.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
416,BRAC e internship khujte OCSAR help kore?,"Yes. OCSAR supports students by sharing internship opportunities, organizing career events, and connecting students with employers.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
417,BRAC e job circular kothay publish hoy?,"Internship and job opportunities are regularly shared through OCSAR's official communication channels, career portal, and university announcements.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
418,BRAC e career fair hoy?,Yes. BRAC University organizes career fairs and recruitment events where employers meet students and graduates to discuss employment opportunities.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
419,BRAC e alumni der sathe networking event hoy?,Yes. OCSAR arranges alumni engagement and networking activities that help students interact with BRAC University graduates and industry professionals.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
420,BRAC e OCSAR er service sob student use korte pare?,"OCSAR provides career development and employability services to BRAC University students. Some services or programs may have specific eligibility requirements, depending on the activity.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
421,BRAC e OCSAR workshop e registration kivabe korbo?,Students can register for OCSAR workshops through the registration links or instructions provided in OCSAR's official announcements and communication channels.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
422,BRAC e LinkedIn profile improve korar support pawa jay?,"Yes. OCSAR provides career development guidance, including sessions and workshops that help students build professional profiles and improve employability.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
423,BRAC e cover letter review service ache?,"Yes. OCSAR offers support in preparing professional job application materials, including cover letters and résumés.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
424,BRAC e employer networking session hoy?,Yes. OCSAR organizes employer engagement programs where students can interact with recruiters and industry representatives.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
425,BRAC e company information session attend korte pari?,"Yes. Companies frequently conduct information sessions and recruitment events through OCSAR, and eligible students are encouraged to participate.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
426,BRAC e internship preparation workshop hoy?,"Yes. OCSAR conducts workshops that prepare students for internships by covering topics such as CV writing, interview skills, and workplace expectations.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
427,BRAC e fresh graduate der jonno career support ache?,"Yes. OCSAR continues to support recent graduates through career services, employer connections, and professional development opportunities.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
428,BRAC e alumni mentor der sathe connect howa jay?,BRAC University organizes alumni engagement activities that may provide students with opportunities to interact with alumni mentors and professionals.,https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
429,BRAC e career related seminar regular hoy?,"Yes. OCSAR regularly organizes seminars, workshops, and professional development events throughout the academic year.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
430,BRAC e OCSAR er upcoming event kothay dekhbo?,"Students can find upcoming career events, workshops, and employer programs through OCSAR's official webpage and university communication channels.",https://www.bracu.ac.bd/students/office-career-services-and-alumni-relations-ocsar
431,BRAC e student club e join korte eligibility ki?,Enrolled BRAC University students are generally eligible to join student clubs. Individual clubs may have additional membership requirements depending on their constitution or activities.,https://www.bracu.ac.bd/student-life/clubs
432,BRAC e ekshathe ekadhik club e join kora jay?,"Yes. Students may join multiple clubs, provided they meet the membership requirements and can fulfill the responsibilities of each organization.",https://www.bracu.ac.bd/student-life/clubs
433,BRAC e notun student ra first semester thekei club e join korte pare?,Yes. New students are encouraged to participate in co-curricular activities and may join student clubs according to each club's recruitment process.,https://www.bracu.ac.bd/student-life/clubs
434,BRAC e club recruitment kokhon hoy?,Student clubs usually organize recruitment activities during designated recruitment periods. The schedule is announced through official university and club communication channels.,https://www.bracu.ac.bd/student-life/clubs
435,BRAC e club recruitment er notice kothay dekhbo?,"Recruitment announcements are published through official club pages, BRAC University communication channels, and student activity announcements.",https://www.bracu.ac.bd/student-life/clubs
436,BRAC e club membership er jonno fee dite hoy?,"Membership requirements, including any applicable fees, are determined by the individual student clubs in accordance with university policies.",https://www.bracu.ac.bd/student-life/clubs
437,BRAC e nijer club establish kora jay?,Students interested in establishing a new club must follow the university's procedures and obtain approval from the appropriate student affairs authority.,https://www.bracu.ac.bd/student-life
438,BRAC e club event organize korte permission lage?,Yes. Student clubs must obtain the necessary approvals from the appropriate university authority before organizing official events or activities on campus.,https://www.bracu.ac.bd/student-life
439,BRAC e club activity academic record e count hoy?,Club participation supports students' co-curricular development. Recognition of these activities depends on the university's policies and the specific program or initiative.,https://www.bracu.ac.bd/student-life
440,BRAC e active club gulor list kothay pabo?,The official list of recognized student clubs and organizations is available on the BRAC University Student Life webpage.,https://www.bracu.ac.bd/student-life/clubs
441,BRAC e club executive committee te join korte pari?,Yes. Eligible members of recognized student clubs may apply or run for executive committee positions according to the club's constitution and election or selection procedures.,https://www.bracu.ac.bd/student-life/clubs
442,BRAC e club leadership position er jonno election hoy?,"Leadership selection depends on the individual club's constitution. Some clubs elect their leaders, while others follow an approved selection process.",https://www.bracu.ac.bd/student-life/clubs
443,BRAC e club event organize korar jonno funding pawa jay?,Recognized student clubs may request financial or logistical support for approved events by following the university's policies and approval procedures.,https://www.bracu.ac.bd/student-life
444,BRAC e inter-university competition e participate korte university support dey?,"Yes. BRAC University supports student participation in academic, cultural, and competitive events through recognized clubs and appropriate university offices, subject to approval.",https://www.bracu.ac.bd/student-life
445,BRAC e international competition e participate korar sujog ache?,"Yes. Students may participate in international competitions and events through university-approved initiatives, academic departments, or recognized student organizations.",https://www.bracu.ac.bd/student-life
446,BRAC e volunteer hisebe university event e kaj kora jay?,"Yes. Students can volunteer for university programs and events organized by departments, offices, or recognized student clubs.",https://www.bracu.ac.bd/student-life
447,BRAC e club participation er certificate pawa jay?,"Some student clubs and university offices issue certificates for participation, volunteering, or organizing events, depending on the nature of the activity and the club's policies.",https://www.bracu.ac.bd/student-life
448,BRAC e co-curricular activity transcript e dekhano hoy?,Academic transcripts record academic performance. Co-curricular activities may be recognized separately through university records or certificates rather than appearing on the academic transcript.,https://www.bracu.ac.bd/academics/offices/office-registrar
449,BRAC e club membership graduate howar poro thake?,Regular membership in student clubs is generally intended for currently enrolled students. Alumni may participate in alumni activities organized by the university but are not typically active student club members.,https://www.bracu.ac.bd/student-life/clubs
450,BRAC e club related shob information kothay pabo?,"Students can find information about recognized clubs, membership, recruitment, and activities on the official BRAC University Student Life webpage and through official university announcements.",https://www.bracu.ac.bd/student-life/clubs
451,BRAC e student exchange program ache?,"Yes. BRAC University offers student exchange opportunities through partnerships with universities around the world. Participation depends on eligibility, partner institution requirements, and available exchange agreements.",https://www.bracu.ac.bd/global-engagement
452,BRAC e exchange program er jonno apply kivabe korbo?,"Students should apply through the Office of Global Engagement by following the application procedures, eligibility requirements, and deadlines announced for each exchange program.",https://www.bracu.ac.bd/global-engagement
453,BRAC e exchange program e apply korar minimum CGPA lage?,"Eligibility requirements, including minimum CGPA, vary depending on the partner university and the specific exchange program. Students should check the requirements for the program they are applying to.",https://www.bracu.ac.bd/global-engagement
454,BRAC e exchange program e gele BRAC er credit count hobe?,Yes. Credits earned during an approved exchange program may be transferred according to BRAC University's credit transfer policies and the academic agreement between the institutions.,https://www.bracu.ac.bd/global-engagement
455,BRAC e kon kon desher university sathe exchange partnership ache?,BRAC University has academic partnerships with universities in multiple countries. The current list of partner institutions is available through the Office of Global Engagement.,https://www.bracu.ac.bd/global-engagement
456,BRAC e exchange program er duration koto hoy?,"The duration of an exchange program depends on the agreement with the partner university. Most exchange opportunities are offered for one semester, although some may have different durations.",https://www.bracu.ac.bd/global-engagement
457,BRAC e exchange program er shomoy tuition fee kothay dite hoy?,Tuition fee arrangements depend on the exchange agreement between BRAC University and the partner institution. Students should follow the financial guidelines provided for their specific exchange program.,https://www.bracu.ac.bd/global-engagement
458,BRAC e exchange student hisebe scholarship pawa jay?,Some exchange programs offer scholarships or financial support. The availability and eligibility criteria depend on the partner institution and the specific program.,https://www.bracu.ac.bd/global-engagement
459,BRAC e international office er sathe jogajog kivabe korbo?,Students can contact the Office of Global Engagement using the official contact information available on the BRAC University website.,https://www.bracu.ac.bd/global-engagement
460,BRAC e exchange program er deadline kothay dekhbo?,Application deadlines for exchange programs are announced by the Office of Global Engagement on its official webpage and through university communication channels.,https://www.bracu.ac.bd/global-engagement
461,BRAC e exchange program e apply korar age advisor er approval lage?,Yes. Students are generally required to obtain approval from their academic department or academic advisor before participating in an exchange program to ensure that their academic plan remains on track.,https://www.bracu.ac.bd/global-engagement
462,BRAC e exchange program er credit transfer ke approve kore?,Credit transfer for approved exchange programs is evaluated by the relevant academic department and processed according to BRAC University's academic policies.,https://www.bracu.ac.bd/global-engagement
463,BRAC e exchange program e thakar shomoy BRAC er student status thake?,Yes. Students participating in an approved exchange program remain BRAC University students while studying at the partner institution under the exchange agreement.,https://www.bracu.ac.bd/global-engagement
464,BRAC e international conference e participate korar support pawa jay?,"Students may receive academic support for participating in international conferences through their department or university offices, subject to university policies and available opportunities.",https://www.bracu.ac.bd/research
465,BRAC e international internship er sujog ache?,"Yes. International internship opportunities may be available through BRAC University's global partnerships, academic collaborations, or external organizations. Eligibility depends on the specific program.",https://www.bracu.ac.bd/global-engagement
466,BRAC e visiting international student der jonno program ache?,Yes. BRAC University hosts international students through exchange and collaborative academic programs managed by the Office of Global Engagement.,https://www.bracu.ac.bd/global-engagement
467,BRAC e outbound ar inbound exchange er difference ki?,"Outbound exchange allows BRAC University students to study at a partner university abroad, while inbound exchange allows students from partner universities to study at BRAC University.",https://www.bracu.ac.bd/global-engagement
468,BRAC e exchange program er jonno English proficiency lagte pare?,Yes. Some partner universities require proof of English language proficiency or other language qualifications as part of their admission requirements for exchange students.,https://www.bracu.ac.bd/global-engagement
469,BRAC e exchange program e visa support document dey?,"Yes. The Office of Global Engagement provides necessary guidance and supporting documents required by partner institutions for exchange students, subject to program requirements.",https://www.bracu.ac.bd/global-engagement
470,BRAC e international opportunity gulor update kothay pabo?,"Students can find updates about exchange programs, international collaborations, scholarships, and global opportunities on the Office of Global Engagement's official webpage and university announcements.",https://www.bracu.ac.bd/global-engagement
471,BRAC e undergraduate research korar sujog ache?,Yes. BRAC University encourages undergraduate students to participate in research projects under the supervision of faculty members. Research opportunities vary by department and academic program.,https://www.bracu.ac.bd/research
472,BRAC e research project e join korte faculty er sathe directly kotha bola jay?,Yes. Students interested in research are encouraged to contact faculty members whose research interests align with their own and discuss potential research opportunities.,https://www.bracu.ac.bd/research
473,BRAC e faculty der research interest kothay dekhbo?,"Faculty profiles on the BRAC University website include information about research interests, publications, and academic backgrounds.",https://www.bracu.ac.bd/academics/faculty
474,BRAC e undergraduate student research assistant hisebe kaj korte pare?,"Yes. Some faculty members recruit undergraduate students as research assistants based on project needs, student qualifications, and available funding.",https://www.bracu.ac.bd/research
475,BRAC e research assistant position er notice kothay publish hoy?,"Research assistant opportunities may be announced by academic departments, faculty members, research centers, or through official university communication channels.",https://www.bracu.ac.bd/research
476,BRAC e research paper publish korte university support dey?,"Yes. BRAC University promotes research and scholarly publication through faculty mentorship, research centers, and academic initiatives.",https://www.bracu.ac.bd/research
477,BRAC e research ethics approval lagle kothay apply korbo?,Research involving human participants or requiring ethical review should follow BRAC University's research ethics procedures through the appropriate ethics review authority.,https://www.bracu.ac.bd/research
478,BRAC e research center gula ki ki?,BRAC University has several research centers and institutes dedicated to different academic fields. Information about these centers is available on the university's Research webpage.,https://www.bracu.ac.bd/research
