ID,Category,Question (Banglish),Answer (English),Source Reliability,Time-Sensitive,Split,Source / Notes
343,Exams and Grading,Original exam date er por make-up exam koto taratari schedule hoy?,Students unable to appear in the final exams may sit for the final makeup exams on the dates decided by the department/school which be within 4 weeks of the following semester.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
344,Exams and Grading,Pass/Fail ba Satisfactory/Unsatisfactory grade ki Dean's List ba VC's List er eligibility credit e count hoy?,No. Dean's List and VC's List eligibility is calculated only from credits with regular letter grades; Pass/Fail and Satisfactory/Unsatisfactory graded credits are excluded from that count.,High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Academic Standings and Honors (bracu.ac.bd/academics/policies-and-procedures/academic-standings-and-honors) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
345,Exams and Grading,Prothom semester er por amar CGPA 1.0 er niche thakle ki hoy?,Students whose grade point average falls below 1.0 in their very first semester may be asked to withdraw from the university.,High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Clarification on Retake and Repeat Examination and Probation (bracu.ac.bd/clarification-retake-and-repeat-examination-and-probation) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
346,Exams and Grading,"Repeat/retake exam er jonno fee keno lage, ar keno eta regular rate e charge kora hoy?","BRAC University treats the repeat exam as a privilege for exceptional situations, not something students should rely on routinely. The fee is charged at the regular rate not to generate revenue but to discourage students from treating repeats/retakes as a normal part of their study plan.",High (cites bracu.ac.bd or an official PDF directly),Yes,train,"BRAC University - Clarification on Retake and Repeat Examination and Probation (bracu.ac.bd/clarification-retake-and-repeat-examination-and-probation) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
347,Exams and Grading,Retake ba repeat kora course amar final transcript e dekhabe?,"Yes. To keep the process transparent, BRAC University records full grading details of all retakes and repeats on the transcript, including the number of attempts, rather than hiding earlier attempts.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University official website - Examinations policy (bracu.ac.bd/academics/policies-and-procedures/examinations) [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
348,Exams and Grading,Semester e student er grade kon kon assessment diye toiri hoy?,"Student performance is evaluated continuously through class tests, quizzes, assignments, and midterm exams during the semester, plus end-of-semester assessment such as final exams, term papers, and project work; all these numerical scores are combined and converted into a letter grade.",Medium (secondary/third-party source),No,train,"BRAC University - Examinations policy and Guidelines for Course Teaching [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
349,Exams and Grading,"Shob quiz, test ar assignment e attend korte hobe, naki kichu skip kora jay?","All students are required to attend all scheduled tests, quizzes, assignments and exams; these are typically scheduled within the regular class hour or tutorial hour.",Medium (secondary/third-party source),Yes,train,"BRAC University - Examinations policy and Guidelines for Course Teaching [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
350,Exams and Grading,Shuru er semester gula te student der jonno ki kono CGPA cushion ache?,"Yes. Students are generally allowed to continue with a CGPA as low as 1.50 up to their sixth semester (fourth semester for Pharmacy students). After that point, they must have raised their CGPA to at least 2.00 to continue in the program.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Clarification on Retake and Repeat Examination and Probation (bracu.ac.bd/clarification-retake-and-repeat-examination-and-probation) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
351,Exams and Grading,Student ra exam schedule ta thik kothay theke pete pare?,"The official BRAC University website often publishes the exam schedules under the academic or announcements section. Additionally, the university may send exam schedules directly to students' email addresses.Furthermore, course instructors sometimes share the exam schedule directly with students during classes or through the course management system.","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
352,Exams and Grading,Summer 2026 er moto refund window e course withdraw korle ami ki refund pabo?,"Refund tiers are staged by date: withdrawing during the earliest window generally gets a 100% refund, a slightly later window gets 75%, and withdrawing in the final window before the payment deadline results in a 'W' grade with no refund - exact dates are published each semester in that term's official class schedule notice.",High (cites bracu.ac.bd or an official PDF directly),Yes,train,"BRAC University - Class Schedule notice (e.g. bracu.ac.bd/class-schedule-summer-2026) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
353,Exams and Grading,Valid reason e student final exam miss korle course teacher er ki korte hoy?,"If a student misses the final exam for a documented valid reason (such as a medical emergency), the course teacher can arrange a make-up exam, and if course requirements genuinely can't be completed in time, an 'Incomplete' (I) grade with a defined completion deadline (up to 8 weeks after the final exam) may be assigned instead.",Medium (secondary/third-party source),Yes,test,"BRAC University - Examinations policy and Guidelines for Course Teaching [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
354,Exams and Grading,Withdrawal face korar age koto din student minimum CGPA er niche thakte pare?,"A student who fails to reach a CGPA of 2.00 within 3 consecutive semesters (2 consecutive semesters for Pharmacy students) will be considered for withdrawal, subject to review by the Dean or Head of Department in consultation with the Registrar - who may, in some cases, recommend a further defined period to reach the 2.00 CGPA if there were major adverse circumstances involved.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University - Policies and Procedures (bracu.ac.bd/academics/policies-and-procedures) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
355,Exams and Grading,Withdrawal hisebe na dekhiye course drop korar deadline ta kobe?,"As a general rule, the last day to drop a course (while still maintaining the minimum course load) is within the first 10 working days of the semester, according to the academic calendar; dropping after that point results in a 'W' grade rather than a clean drop.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University Academic Handbook and class schedule notices (bracjpgsph.org hosted handbook, bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
356,Extracurricular Activities,2022 er BRAC University WUDC-jeta team final e kake hariyechilo?,"In the open final of WUDC 2022, BRAC University's team (Sourodip Paul and Sajid Asbat Khandaker) defeated Ateneo de Manila University, the National University of Singapore, and Princeton University with a unanimous 9-0 ballot; earlier rounds saw them beat Harvard, Oxford and Sydney.",High (cites bracu.ac.bd or an official PDF directly),Yes,train,"BRAC University news and press coverage of BUDC (bracu.ac.bd/news, Financial Express, Prothom Alo) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
357,Extracurricular Activities,Academic workload er shathe extracurricular activity kivabe balance korbo?,"Balancing extracurricular activities with academics requires good time management and prioritization. Start by creating a schedule that includes study sessions, classes, and time for activities. Prioritize important deadlines and ensure that your academic commitments come first. Limit the number of activities to a manageable amount, and don't hesitate to take breaks when needed. Use your extracurriculars to relieve stress and enhance skills, but always stay aware of your academic responsibilities. If you feel overwhelmed, seek support from advisors or peers to adjust your workload","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
358,Extracurricular Activities,Amar major er shathe related professional ba academic club ki ache?,What is your major? Please specify your major for tailored recommendations.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
359,Extracurricular Activities,Ami ki nijer club shuru korte pari? Process ta ki?,"Of course you can start your own club. Here is some information to get started: At least 75 student members and 1 advisor [from BRACU faculty] are needed to start a
club. An application to the director, co-curricular activities with goals, objectives, program calendar and mode of operation, signed by the advisor/ co-advisor[s] should be submitted by the applicants intending to open the club. For more details , go to: https://www.bracu.ac.bd/sites/default/files/Proctor_office/bu_disciplinary_policies/8.%20OCA%20Guidelines.pdf","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
360,Extracurricular Activities,Ami kivabe ekta club ba organization e join korbo?,"Here is the club membership registration form, you can just click here https://www.bracu.ac.bd/club-registration-form and join your desired club","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
361,Extracurricular Activities,BRAC Masters Invitational ta ki?,"BRAC Masters Invitational is a British Parliamentary-style debate tournament organized by the BRAC University Debate Club (BUDC), considered one of the most anticipated national debate tournaments in Bangladesh, notable for using a Round Robin format rather than the standard elimination bracket used by most local tournaments.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University news and press coverage of BUDC (bracu.ac.bd/news, Financial Express, Prothom Alo) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
362,Extracurricular Activities,BRAC University Community Service Club (BUCSC) ta kis niye?,"BUCSC, under the motto 'Sharing Happiness', is a student-initiated club focused on working with marginalized communities and raising social awareness about significant communal issues, often collaborating with other clubs at university festivals.",Medium (secondary/third-party source),No,train,"BRAC University Community Service Club Facebook page [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
363,Extracurricular Activities,BRAC University Computer Club (BUCC) ki kaj kore?,"BUCC is a technology-focused club, established in 2001, open to students from any department. It runs workshops, seminars and events connecting industry professionals with student tech enthusiasts, and organizes activities such as help desks for programming courses.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University Computer Club official site (bracucc.org) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
364,Extracurricular Activities,BRAC University er club gula ki inter-university cultural competition e compete koreche?,"Yes, for example the student club Monon won the championship of Cultural Fest 2.0 (organized by Event Box), competing against 12 universities across categories including art, music, dance, and drama.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University news - Cultural Fest 2.0 coverage (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
365,Extracurricular Activities,BRAC University er debate team recently inter-university tournament e success peyeche ki?,"Yes, for example Team BRAC-A won the BDC-BUETDC Pre-UADC 2025 tournament (hosted by the BUET Debating Club), beating out 36 teams from across Bangladesh in the United Asians Debating Championship (UADC) format.",High (cites bracu.ac.bd or an official PDF directly),Yes,train,"BRAC University news and press coverage of BUDC (bracu.ac.bd/news, Financial Express, Prothom Alo) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
366,Extracurricular Activities,BRAC University er football team ki kono major inter-university tournament jiteche?,"Yes, for example BRAC University's football team won the NSU Inter University Sports Carnival 2023, beating the Independent University of Bangladesh (IUB) 1-0 in the final.",High (cites bracu.ac.bd or an official PDF directly),Yes,train,"BRAC University news and sports press coverage (bracu.ac.bd/news, Daily Star, UNB) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
367,Extracurricular Activities,BRAC University Football League (BUFL) ta ki?,"BUFL is an intramural football tournament where different BRACU clubs and societies field their own teams and compete against each other (rather than against other universities) - for example, clubs like the Drama and Theatre Forum, Cultural Club, Law Society, and Photography Club have all fielded teams in past editions.",Medium (secondary/third-party source),No,train,"The Daily Star - BRAC University Football League coverage [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
368,Extracurricular Activities,BRAC University ki kokhono World Universities Debating Championship (WUDC) jitteche?,"Yes, twice. In 2013, BRAC Bangladesh A (Ratib Murtaza Ali and Aaqib Farhan Hossain) won the English-as-a-Second-Language (ESL) category at WUDC in Berlin - Bangladesh's first such win. In 2022, BRAC University students Sourodip Paul and Sajid Asbat Khandaker won the WUDC open category outright in Belgrade, becoming the first Asian team ever to win the tournament's top title.",High (cites bracu.ac.bd or an official PDF directly),Yes,test,"BRAC University news and press coverage of BUDC (bracu.ac.bd/news, Financial Express, Prothom Alo) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
369,Extracurricular Activities,"BRAC University Multicultural Club (BUMC) ta ki, ar eta ki type er event chalay?","BUMC is a club focused on celebrating cultural diversity and welcoming international students; for example, it organized 'My Country, My Culture', a seminar and orientation event featuring country presentations, a panel discussion on identity and belonging, and cultural performances to help bridge national and international students.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University news - BUMC event coverage (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
370,Extracurricular Activities,BRAC University niyomito inter-university sports tournament e part nay ki?,"Yes, BRAC University teams regularly compete in inter-university football and other sports tournaments in Dhaka, including tournaments like the Shahjalal Islami Bank Faraaz Gold Cup Inter-University Football Tournament.",Medium (secondary/third-party source),No,train,"UNB news coverage of inter-university football tournaments [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
371,Extracurricular Activities,BRAC University protita semester e notun student der jonno official orientation event kore ki?,"Yes, BRAC University holds a Freshers' Orientation each semester at the Multipurpose Hall on the main campus, typically including registration, lunch, and a formal orientation program, often featuring an external guest speaker (such as a corporate CEO) addressing new students.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University news and event announcements (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
372,Extracurricular Activities,BRAC University Savar Residential Campus e cultural performance kore ki?,"Yes, cultural programs featuring songs, dances, and other performances by students have been held at the Savar Residential Campus, celebrating the diversity and talent of the student community.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University news - Residential Campus cultural program coverage (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
373,Extracurricular Activities,BRAC University student ra university er baire academic/cultural conference e compete kore ki?,"Yes, BRACU students regularly participate in inter-university student conferences and cultural competitions hosted by other universities - for example, BRAC University students have won paper awards at conferences like ULAB's Inter-University Student Conference and Cultural Competition.",Medium (secondary/third-party source),No,train,"Dhaka Tribune coverage of inter-university student conferences [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
374,Extracurricular Activities,BRAC University te club ar society kon office dekhashona kore?,"The Office of Co-Curricular Activities (OCA) supports and coordinates club activities campus-wide, including club fairs and cultural events such as Pahela Baishakh fairs.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Co-Curricular Activities & Club Community pages (bracu.ac.bd/student-life) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
375,Extracurricular Activities,BRAC University te club ba society te join kora ki mandatory?,"Yes. It is mandatory for every BRAC University student to enroll in at least one student club or society of their choice, as part of the university's co-curricular requirement.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University - Office of Co-Curricular Activities & Club Community pages (bracu.ac.bd/student-life) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
376,Extracurricular Activities,BRAC University te mote koto club ar society ache?,"BRAC University has more than 30 academic and non-academic clubs and societies, spanning sports, culture, debate, adventure, community service, finance, technology, and Model UN, among other interests.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Co-Curricular Activities & Club Community pages (bracu.ac.bd/student-life) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
377,Extracurricular Activities,BRAC University te notun club shuru korte basic requirement ar application process ta ki?,"To start a new club, you need at least 50 interested student members and one BRACU faculty advisor. The applicants then submit an application to the Director of Co-Curricular Activities, including the club's goals, objectives, a program calendar, and mode of operation, signed by the advisor. The new club's Executive Committee follows the same eligibility rules as any club's committee (see the Executive Committee CGPA/credit requirements). One faculty member can advise only one club at a time, but can additionally co-advise up to one more; a faculty member who isn't an advisor of any club can co-advise up to two.","Medium (internal dataset, not independently re-verified)",No,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
378,Extracurricular Activities,BRAC University te student ra join korte pare emon club er kichu example ki ki?,"Examples include the BRAC University Computer Club (BUCC), BRAC University Debate Club (BUDC), Business & Economics Forum, Communication & Language Club, Adventure Club, Football Club, Cricket BRACU, Marketing Association, Film Club, Law Society, Art & Photography Society, Natural Sciences Club, Pharma Society, Drama and Theatre Forum, Chess Club, Finance and Accounting Club, and the IEEE Student Branch Chapters (Computer Society, PES, RAS), among many others.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Office of Co-Curricular Activities & Club Community pages (bracu.ac.bd/student-life) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
379,Extracurricular Activities,Club Activities theke Certificate kivabe pabo,"Please email with detail Name, ID, Timeframe, and Club Name to <student_org@bracu.ac.bd>","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
380,Extracurricular Activities,Club ba sports team e join korte ki kono cost lage?,No there no costs associated with joining clubs or sports teams.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
381,Extracurricular Activities,Club event er por report kivabe submit korbo?,"After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.","Medium (internal dataset, not independently re-verified)",No,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
382,Extracurricular Activities,"Club Executive Committee election, membership ar term niye ar ki ki rules ache?","Every club must include at least one female Executive Committee member, or the panel won't be approved. A student can only hold an Executive Committee position in one club/forum at a time (though they may be a general member of up to two). Students in their last two semesters are advised not to take on new Executive Committee roles. Elections/selection happen annually in the Fall semester (September-November), and the final panel must be approved by the club's advisor and OCA before being announced publicly.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
383,Extracurricular Activities,Club Executive Committee member der jonno ki CGPA ar credit requirement lage?,"In general, Executive Committee members are expected to have completed 60 credits and hold a minimum CGPA of 3.0, but the exact rule varies by club type: for Academic (co-curricular) clubs, all four members need a CGPA of 3.0+; for Non-Academic (extracurricular) clubs, half the panel (2 members) needs 3.0+ and the rest need at least 2.0 (with a condition letter); for Sports clubs, at least one member needs 3.0+ and the other three need at least 2.0 (with a condition letter). Students on probation or facing disciplinary action cannot serve on an Executive Committee.","Medium (internal dataset, not independently re-verified)",No,val,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
384,Extracurricular Activities,Club outdoor activity ba study tour organize korar process ta ki?,"Study tours must align with the club's objectives and require approval from the Registrar through the Director of OCA. Tours should take place during semester breaks and are funded by the club budget. Food costs are allocated at Tk. 200 per day for one-day trips and Tk. 1,000 per day for longer trips. Advisors and co-advisors must accompany students. A Parent Consent Form (signed by guardians) and a list of students with IDs must be submitted to the OCA. Transport requests should be made one week in advance for city tours and two weeks for out-of-town tours. Only active club members can join, and students can participate in one tour per semester.","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
385,Extracurricular Activities,Club outdoor activity ba tour er jonno kivabe apply korbo?,"1. The purpose of study tours has to be relevant to the club activities and objectives.

2. Approval from the Registrar through the Director of OCA is required for conducting the tour.

3. Tours are to be conducted during the semester break.

4. Study tour expenses are covered by the club budget.

5. One-day trip: Food cost Tk.200/- per day per person will be allocated

6. Long trips: If more than one day, food cost Tk.1,000/- per day per person will be allocated.

7. Advisors and co-advisor(s) are to accompany the student members on the study tours.

8. Parent Consent form, available at the OCA, to be filled out with the signature of the guardian, and submitted to the OCA with the names of all students and ID numbers.

9. For transport needs, inform the OCA in advance – one week before the tour for within the city, and two weeks before the tour out of town. The OCA coordinates with the transport department for transport arrangements.

10. Students who are active in the club will be the only students to be considered for the study tour for their respective clubs.

11. A student cannot attend more than one club/forum study tour per semester.","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
386,Extracurricular Activities,Ekta club er Executive Committee ar Director panel er basic structure ta ki?,"A club's student Executive Committee has four core positions: President, Vice-President, General Secretary, and Financial Secretary. Depending on the club's activities, it may also have a separate Director panel of 5-10 positions (e.g. Director - Program, Finance, Media, Rehearsals, Logistics), and this panel works together with the Office of Co-Curricular Activities (OCA).","Medium (internal dataset, not independently re-verified)",No,val,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
387,Extracurricular Activities,Event Budget kivabe korbo ar bill submit korbo?,"Within 48 hours of the event, the Executive Committee of a club/forum should submit the expense details with advisor's signature along with all receipts/vouchers to the OCA. They also need to submit a report and photographs of the event along with the bills.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
388,Extracurricular Activities,Event er jonno food ba refreshment arrange korar process ta ki?,"For refreshments from the Brac University cafeteria, orders must be confirmed by OCA, and payments will be made by the Accounts Office from the club/forum budget (not in cash). For refreshments from outside vendors, financial assistance will be transferred to the club advisor's bank account as per the approved budget.","Medium (internal dataset, not independently re-verified)",No,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
389,Extracurricular Activities,Event er jonno logistic support pawar process ta ki?,"The OCA will provide logistics such as sound, light, banners, decoration materials, projector-screens, and poster printing. Clubs must select logistics from the Brac University Procurement facility list, and OCA will handle the requisition. Clubs must confirm their logistic needs in detail to OCA at least 7 working days before the event.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
390,Extracurricular Activities,IEEE Computer Society BRACU Student Branch Chapter ki jonno famous?,"IEEE CS BRACU SBC is a platform for students interested in Computer Science and Engineering; it is known for organizing events like 'CS Spectrum: Code Crash,' a notable programming contest that brings together the university's top problem solvers.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BSRM School of Engineering - Societies & Clubs (engineering.bracu.ac.bd/societies-clubs) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
391,Extracurricular Activities,IEEE Power & Energy Society (PES) BRACU chapter member der ki offer kore?,"The IEEE PES BRACU Student Branch Chapter focuses on power and energy systems, offering industry visits to power plants and substations, seminars with experts in power systems and sustainability, opportunities to write for IEEE conferences, and networking with professionals and mentors.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BSRM School of Engineering - Societies & Clubs (engineering.bracu.ac.bd/societies-clubs) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
392,Extracurricular Activities,"International competition, tour ba event e participate korar process ta ki?","To participate in international events, submit a proposal to the OCA, including a detailed budget and required documents. The proposal needs approval from the Director of OCA, Director of Finance/Treasurer, and finally, the VC/Pro-VC. The proposal should include your contributions to the club, membership details, CGPA, reasons for attending, how the experience will benefit BRACU students, and whether you've traveled abroad before. Additionally, attach a letter of approval from the club advisor and president. A selection committee may be formed for certain events. After returning, a session must be arranged to share the experience and learning.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
393,Extracurricular Activities,Intramural sports ki ache?,"Yes, the Multipurpose Hall provides indoor sports facilities, including table tennis, badminton, basketball, and carom, with plans to expand offerings further.
.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
394,Extracurricular Activities,Ki kono mentorship program ache?,"Yes, Brac University offers an extensive program of First Year Advising Team (FYAT) for all undergraduate students during their first year. In FYAT program under Office of Academic Advising (OAA), each new student is assigned to a FYAT Group. Each Group is led by a Faculty Adviser and Peer Mentor.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
395,Extracurricular Activities,Kono event er jonno Food/Refreshment kivabe arrange korbo?,"Clubs must purchase food and water for events directly from stores.

Proper money receipts must be collected for all expenses.

After the event, all bills and receipts must be submitted to the Office of Co-curricular Activities (OCA).

Once verified, the necessary financial procedures will be carried out.

For post-budget events, the approved amount will be transferred to the club advisor's bank account after submission and verification of the bills.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
396,Extracurricular Activities,Logistic Support kivabe pabo?,"•OCA will provide logistic support (Sound, light, banner, decoration material) from Brac University Procurement.

•Brac University Procurement has a set of Logistic facility lists; the club must choose the facility from the list. OCA will do requisition to procurement for purchase.

•Club must confirm the needed logistic (Sound, light, banner) to OCA in detail, 7 working days before the event and it should be mentioned in the event proposal letter.

•Posters will be printed from the OCA office.

•Projector-Screen will also be provided from the OCA office.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
397,Extracurricular Activities,Music ba dance e interested student der jonno ki ki opportunity ache?,"There are 2 clubs to visit if you're interested in music or dance: BRAC University Cultural Club (BUCuC) has been representing the traditional as well as the modern end of culture since its very inception. BUCuC's basic aim is to provide expedient platforms for the various kinds of talent that revolve around performing arts and creative/visual arts (e.g. musicians, dancers, writers, reciters, anchors, set designers, graphic designers, etc.) to enhance their rich cultural presence in BRAC University and beyond. Every semester BUCuC rocks the floor with innovative shows and splendid performances by the in-house members as well as by inviting distinguished celebrity guest performers.
Contact: club.bucuc@g.bracu.ac.bd BRAC University MONON, the only nontraditional art-based club, nurtures young minds so that they can be motivated and influenced by anomalistic artistry and grow the talent to pursue their passion in the field of unconventional arts. Moreover, they encourage, motivate, and influence young enthusiasts to spread happiness and participate in social work such as voluntary charity campaigns to help themselves develop and emphasize their interest by working closely along with society. 
Contact: club.bumonon@g.bracu.ac.bd","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
398,Extracurricular Activities,Notun Club e join korar process ta ki?,"It is mandatory for a BRACU student to enroll in at least one student activity club/forum of her/his choice. A student can become a member of a maximum of two clubs at a time. OCA will arrange recruitment sessions (club fair, orientation) for new students or email individual club g suit accounts. Also, from all the facebooks or any other social media pages, students can get to know about the recruitment pshase.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
